Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.000802931	0.00109877	0.00135492	0.00126719	0.00123476	0.000919176	0.000894579	0.0010559	0.000985076	0.00155058	0.00114013	0.00112544	0.00104358	0.00125452	0.00127415	0.000956143	0.00128366	0.00139598	0.00171255	0.00116012	0.00125419	0.00146045	0.00129148	0.000813903	0.00129269	0.00158145	0.000984078	0.00149051	0.00117469	0.0014746	0.00143002	0.00147423	0.00152304	0.00141269	0.00131187
0.023	0.00583087	0.710077	0.776797	0.894368	0.848698	0.820181	0.803374	0.791166	0.77895	0.741144	0.738977	0.719417	0.0013586	0.699623	0.689028	0.689452	0.678487	0.625903	0.401759	0.850931	0.786454	0.755758	0.74902	0.723709	0.718138	0.711977	0.697385	0.695598	0.699643	0.675954	0.688667	0.671815	0.665286	0.639035	0.667662
0.026	0.62478	0.332354	0.839132	0.77575	0.738753	0.715983	0.695054	0.678603	0.673048	0.630666	0.62269	0.599117	0.588404	0.571587	0.588471	0.561828	0.502467	0.273198	0.780296	0.69091	0.650939	0.639206	0.624547	0.604818	0.604384	0.599663	0.578751	0.580879	0.570443	0.563196	0.561921	0.54495	0.508848	0.546108	0.523548
0.029	0.716094	0.427979	0.886123	0.840125	0.813126	0.796473	0.781017	0.769549	0.762855	0.72873	0.72071	0.70652	0.68875	0.680484	0.684602	0.661216	0.611876	0.357427	0.838236	0.77536	0.745929	0.727786	0.72099	0.707627	0.701271	0.686929	0.686301	0.678778	0.673102	0.661571	0.665383	0.650896	0.617627	0.655446	0.634887
0.032	0.74757	0.47354	0.898888	0.862204	0.840852	0.821467	0.812111	0.804848	0.791137	0.760246	0.751343	0.738985	0.731038	0.714496	0.725789	0.694404	0.658925	0.395622	0.860498	0.805645	0.778671	0.766944	0.756885	0.744691	0.737786	0.728272	0.720219	0.720763	0.717902	0.710609	0.705712	0.693839	0.667501	0.695175	0.676357
0.035	0.78085	0.515282	0.914917	0.880778	0.86159	0.847281	0.831129	0.826937	0.817387	0.791539	0.78474	0.774407	0.759497	0.755041	0.752187	0.738012	0.691989	0.439183	0.881221	0.828839	0.807707	0.791779	0.787128	0.768314	0.760327	0.761871	0.757386	0.751977	0.745775	0.741726	0.734956	0.724773	0.695783	0.733624	0.718018
0.038	0.800891	0.569498	0.921978	0.891988	0.875082	0.863439	0.853824	0.848597	0.837768	0.812307	0.807623	0.800001	0.789159	0.778804	0.78159	0.765971	0.725642	0.479733	0.893892	0.848617	0.827744	0.816792	0.807935	0.793926	0.79266	0.785345	0.781793	0.772714	0.77075	0.771908	0.76214	0.756467	0.727233	0.759998	0.745548
0.041	0.822052	0.628174	0.931772	0.904233	0.88966	0.879544	0.871144	0.861139	0.857843	0.835544	0.82725	0.816046	0.809189	0.799096	0.80725	0.785816	0.743856	0.513845	0.905175	0.861724	0.843726	0.834186	0.825259	0.820045	0.817385	0.805356	0.80422	0.797779	0.795082	0.788695	0.787138	0.781095	0.758852	0.783709	0.776354
0.044	0.838207	0.717105	0.935479	0.912902	0.900443	0.88757	0.883278	0.874606	0.869474	0.848628	0.84469	0.836457	0.824516	0.816187	0.822256	0.811203	0.770717	0.554368	0.912518	0.878062	0.858897	0.849445	0.845509	0.835378	0.835539	0.826795	0.826871	0.819535	0.815418	0.81314	0.806622	0.802542	0.786849	0.805414	0.792721
0.047	0.852633	0.821369	0.940816	0.917532	0.908305	0.898107	0.8924	0.886971	0.881744	0.86137	0.860722	0.853238	0.841595	0.833202	0.837416	0.824451	0.787542	0.589482	0.921682	0.887589	0.872662	0.870766	0.858826	0.85351	0.849174	0.841359	0.841631	0.832349	0.832949	0.831235	0.822835	0.815029	0.80738	0.820672	0.805123
