Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.035475	0.0363931	0.0321074	0.0394077	0.0497797	0.0396693	0.0473221	0.0500146	0.052796	0.0427124	0.0580187	0.0511787	0.0415671	0.0507371	0.0481776	0.0318072	0.0512471	0.0470804	0.0500682	0.0420305	0.0487416	0.057652	0.0401472	0.0516268	0.0652255	0.0567679	0.0442523	0.0454879	0.0552006	0.0594363	0.0827826	0.0696936	0.0667305	0.0461509	0.0531778
0.023	0.030188	0.0316571	0.0436848	0.0471946	0.0370829	0.0387561	0.0509787	0.0390972	0.0492338	0.0448577	0.0348878	0.0337707	0.0492228	0.0501209	0.0462477	0.0412403	0.0530809	0.0545868	0.0615973	0.0590894	0.0558208	0.0463778	0.0472395	0.0534486	0.0634759	0.0442928	0.0496758	0.0592353	0.0473464	0.0466263	0.0511646	0.0531789	0.0499187	0.0671901	0.0417392
0.026	65.3344	19.9777	221.139	136.991	113.756	99.4294	90.9585	86.3024	81.2833	66.2048	64.4559	60.6564	42.0959	52.5849	54.477	50.9116	40.4631	14.9693	142.731	90.3415	76.5695	71.022	67.5202	63.8036	60.1979	58.4609	56.2412	53.8681	53.3321	51.1386	49.9264	47.949	40.7528	48.6181	44.8424
0.029	100.048	29.3693	333.041	211.368	174.098	155.025	140.51	131.683	127.052	105.82	100.766	95.7704	88.7706	81.3353	85.9547	80.5974	64.5077	22.4144	216.293	140.808	118.42	111.782	105.49	99.7032	94.6981	92.2937	86.8781	84.7485	83.5641	79.1598	78.689	75.3561	64.8342	77.2312	70.8324
0.032	120.121	35.653	397.508	257.259	212.014	186.683	170.928	163.47	151.553	129.515	122.02	115.274	107.138	98.4127	103.207	95.9973	76.8353	26.9843	258.134	169.564	143.007	135.696	127.04	119.899	112.805	111.622	106.7	102.978	101.341	97.7765	94.7634	90.0105	78.7393	92.0099	85.1491
0.035	142.507	42.1427	456.888	301.981	251.92	223.102	201.484	193.256	183.516	154.047	147.893	136.799	126.732	116.22	124.148	113.414	90.6652	32.0107	302.069	198.524	169.471	158.158	152.961	141.733	135.118	131.696	125.566	121.822	118.451	115.59	112.963	107.416	94.059	108.509	101.973
0.038	164.445	51.5651	525.584	349.586	290.319	256.941	237.901	223.599	212.106	177.846	172.434	159.236	149.57	134.734	143.637	133.602	106.324	37.199	346.724	229.544	196.522	183.349	174.823	164.789	158.865	151.488	147.546	142.172	137.719	135.519	131.855	126.179	107.158	127.019	117.157
0.041	189.316	66.2365	591.392	400.119	336.477	297.133	274.795	254.741	242.536	203.777	198.931	182.544	169.147	155.992	165.295	152.073	121.871	42.5394	395.838	260.771	225.057	211.77	200.806	192.795	183.078	174.85	168.027	163.437	158.608	154.139	149.485	142.64	127.434	145.724	136.259
0.044	213.679	98.2526	663.186	446.058	372.144	340.215	307.371	288.764	276.563	233.98	226.727	208.215	194.755	178.793	188.597	172.687	136.078	49.1327	431.27	290.678	252.515	235.308	227.824	213.525	205.874	199.999	193.005	184.92	180.136	174.647	169.655	164.434	147.238	164.186	153.744
0.047	237.702	182.323	733.374	493.845	417.776	376.201	343.158	329.113	308.79	262.06	253.269	235.458	217.771	200.583	211.71	192.891	153.923	55.2299	485.576	327.16	283.137	265.164	255.085	244.788	230.921	224.611	215.423	205.608	203.451	198.364	189.556	184.199	170.964	185.064	172.063
