Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	39.0135	37.8791	39.32	38.4656	37.3592	37.2322	39.0735	36.81	37.1613	38.426	38.1311	38.6464	38.8274	38.0694	38.3293	39.8474	39.8454	40.2879	38.6176	39.608	39.3021	40.7325	39.292	41.0759	39.8547	40.1757	41.065	38.4617	40.3161	39.7461	39.7915	39.3612	39.4445	39.2407	40.11
0.023	209.189	138.041	283.222	386.603	267.558	224.763	203.068	191.798	181.157	153.148	146.593	143.771	38.1754	131.672	124.731	129.896	122.193	107.4	66.5602	268.904	185.624	167.549	159.809	153.929	144.185	140.695	137.325	133.398	129.837	129.864	125.827	123.053	117.822	109.917	120.136
0.026	103.96	62.2855	316.837	211.075	184.703	164.82	153.099	134.915	143.571	125.863	122.581	110.537	95.5885	90.3661	108.068	104.428	86.0912	59.8247	193.337	153.823	124.622	130.744	126.55	121.682	101.029	111.317	96.8058	109.637	106.096	103.46	95.7597	99.7704	92.9365	99.3201	96.0393
0.029	141.167	67.4394	376.921	255.96	218.703	195.173	180.252	173.884	166.466	146.661	142.674	134.894	127.281	120.866	124.887	121.608	104.156	63.7965	255.22	181.401	159.268	151.891	146.096	140.182	135.186	133.009	128.661	127.404	123.112	119.777	118.626	115.701	104.621	117.279	110.251
0.032	162.546	75.7656	436.158	296.965	253.897	228.47	209.027	203.793	192.625	167.819	162.583	155.802	147.387	136.862	142.128	138.755	116.501	67.7302	297.679	209.382	183.184	174.917	167.027	160.457	154.576	151.476	146.154	142.069	142.437	136.694	135.038	130.918	117.971	131.353	126.021
0.035	181.734	83.1479	503.898	343.837	290.847	262.624	241.927	231.435	223.433	194.547	185.343	176.104	167.629	154.742	165.555	153.92	131.385	73.9481	345.773	238.299	211.96	201.578	192.953	184.19	175.669	172.511	168.436	162.271	159.291	154.961	151.184	146.594	131.763	147.137	141.466
0.038	207.043	92.3483	571.77	393.651	333.26	298.506	277.183	261.716	254.025	218.373	211.514	198.73	189.893	175.156	183.473	172.265	148.203	77.6627	388.085	270.821	237.075	225.201	216.512	208.698	199.473	193.64	186.983	182.111	179.491	174.808	172.369	166.581	149.63	167.117	156.666
0.041	228.858	109.348	635.872	437.206	374.719	337.556	312.537	296.918	280.04	244.345	238.958	225.159	211.272	196.859	207.694	193.708	164.204	83.6288	431.303	297.751	265.703	252.581	243.58	233.508	223.016	215.89	210.95	204.229	199.28	193.817	190.082	183.764	166.785	186.343	175.718
0.044	253.745	144.327	706.157	486.931	416.62	377.262	348.967	328.453	315.914	273.852	264.934	249.382	233.442	218.954	230.592	213.101	177.758	89.8155	474.021	331.989	294.335	276.472	270.774	254.669	247.487	240.868	232.163	224.302	222.792	217.678	211.122	202.184	187.321	204.461	194.36
0.047	277.7	252.089	773.249	538.371	455.338	419.747	385.974	365.906	346.585	303.751	292.988	275.346	255.907	239.137	251.498	235.29	191.382	95.6523	522.903	372.207	325.423	305.336	297.196	283.847	270.666	264.042	254.673	246.886	243.951	237.693	230.494	224.046	207.737	222.472	212.256
0.05	303.496	668.515	849.833	591.691	504.694	457.129	425.595	402.811	384.539	333.536	321.516	304.393	282.72	264.078	276.662	255.134	210.928	103.606	575.16	405.597	354.004	333.757	324.227	309.645	296.876	287.339	276.92	269.919	265.229	260.539	254.196	246.218	233.384	246.578	231.988
0.053	328.872	1311.85	929.625	647.458	551.757	502.688	464.998	442.527	423.487	365.717	350.233	330.835	308.301	288.264	302.033	277.188	227.929	112.799	627.975	446.309	389.781	367.278	349.893	336.99	323.114	312.321	304.652	292.611	289.583	283.07	275.58	242.978	256.89	264.548	254.454
0.056	357.249	1628.41	1003.6	697.393	593.78	543.686	503.396	477.768	454.615	397.37	379.686	353.622	331.55	311.497	321.88	297.187	249.412	123.475	1765.1	1109.78	846.84	669.058	509.328	410.537	350.599	341.454	331.701	317.672	313.478	304.118	299.294	244.955	278.091	287.452	273.864
0.059	386.936	1880.67	1069.84	745.258	642.928	584.578	539.324	517.762	495.567	429.93	410.14	387.273	361.075	334.094	347.379	322.116	266.088	137.194	1923.88	1256.44	966.954	767.182	596.075	490.844	375.081	367.151	356.904	341.297	337.36	330.408	318.596	244.012	302.972	303.786	294.068
0.062	408.043	2092.63	1163.74	810.492	693.52	626.038	588.825	558.338	533.112	471.319	443.936	416.266	393.152	361.435	376.312	344.469	284.292	154.129	2090.01	1402.86	1063.94	858.278	667.005	552.28	407.772	392.628	382.364	365.68	358.352	352.583	344.565	242.194	326.184	328.766	314.148
0.065	435.716	2313.84	1238.77	869.201	749.574	669.075	625.062	594.911	571.945	501.334	475.994	443.971	417.968	386.195	402.573	365.795	3452.76	178.94	2230.04	1498.98	1169.97	938.916	722.626	614.265	436.837	418.004	408.512	388.096	386.502	372.674	368.134	240.534	350.054	348.166	337.872
