Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.00590755	0.00561217	0.00546448	0.00605524	0.00561217	0.00590755	0.00635062	0.0064983	0.00590755	0.00561217	0.00575986	0.00575986	0.158175	0.00590755	0.00605524	0.00605524	0.00590755	0.00561217	0.00620293	0.00605524	0.00620293	0.00635062	0.00620293	0.00590755	0.00620293	0.00590755	0.00590755	0.00590755	0.00635062	0.00590755	0.00635062	0.00605524	0.00575986	0.00590755	0.00664599
0.023	0.00620293	0.00575986	0.00620293	0.00561217	0.00575986	0.00620293	0.00605524	0.00575986	0.00605524	0.00605524	0.00620293	0.00664599	0.00590755	0.00620293	0.00605524	0.00620293	0.00664599	0.00635062	0.00605524	0.0064983	0.00635062	0.00590755	0.00620293	0.00590755	0.00605524	0.00620293	0.00590755	0.00635062	0.00590755	0.00605524	0.00723675	0.00575986	0.00590755	0.00620293	0.00590755
0.026	0.0119628	0.00930439	0.0183134	0.0149166	0.0140304	0.0138827	0.0138827	0.0129966	0.0127012	0.0121105	0.0129966	0.0119628	0.011372	0.0116674	0.0112243	0.0115197	0.0112243	0.00871363	0.015655	0.0134397	0.0124059	0.0121105	0.0122582	0.0124059	0.0124059	0.0129966	0.0119628	0.011372	0.0112243	0.011372	0.011372	0.011372	0.0107813	0.0115197	0.011372
0.029	0.0150643	0.010929	0.0228918	0.0196426	0.0184611	0.0178703	0.0183134	0.0159504	0.0165411	0.0155073	0.0152119	0.0149166	0.0137351	0.0138827	0.0143258	0.0143258	0.0137351	0.0106336	0.0200857	0.0165411	0.015655	0.015655	0.0155073	0.0153596	0.0159504	0.0149166	0.0147689	0.0144735	0.0140304	0.0140304	0.0137351	0.0134397	0.0131443	0.0138827	0.0138827
0.032	0.0160981	0.0110767	0.024664	0.0214149	0.0191995	0.0186088	0.017575	0.0177226	0.0174273	0.0166888	0.0162458	0.0158027	0.0152119	0.0150643	0.0153596	0.0150643	0.0138827	0.0103382	0.0212672	0.0184611	0.0166888	0.0166888	0.0159504	0.0159504	0.0163934	0.0162458	0.0160981	0.0150643	0.0150643	0.0149166	0.0150643	0.0141781	0.0137351	0.0146212	0.0144735
0.035	0.0172796	0.0118151	0.0262886	0.0225964	0.020381	0.0196426	0.0189042	0.0186088	0.0181657	0.0174273	0.0174273	0.0177226	0.0166888	0.015655	0.0165411	0.015655	0.0149166	0.0115197	0.022301	0.0189042	0.0187565	0.0178703	0.0172796	0.0166888	0.0166888	0.0163934	0.0163934	0.0163934	0.0158027	0.0159504	0.0150643	0.0150643	0.0144735	0.0152119	0.0150643
0.038	0.017575	0.0119628	0.0279132	0.0240733	0.0220056	0.0211195	0.0208241	0.0196426	0.0197903	0.0181657	0.0181657	0.0177226	0.0177226	0.0165411	0.017575	0.0172796	0.0153596	0.0116674	0.0237779	0.0202334	0.0194949	0.0189042	0.0187565	0.017575	0.0181657	0.0184611	0.0166888	0.0169842	0.0165411	0.0160981	0.0169842	0.0160981	0.0150643	0.0163934	0.0159504
0.041	0.0184611	0.013292	0.0292424	0.024221	0.0236302	0.0215626	0.0212672	0.0205287	0.0202334	0.019938	0.0189042	0.0184611	0.018018	0.0174273	0.0178703	0.0177226	0.0165411	0.0119628	0.0245163	0.0206764	0.0196426	0.0196426	0.0190518	0.0190518	0.0184611	0.0181657	0.0183134	0.0174273	0.0177226	0.0174273	0.0171319	0.0171319	0.0162458	0.017575	0.0165411
0.044	0.0228918	0.0144735	0.0301285	0.0327869	0.0237779	0.0231871	0.0225964	0.0225964	0.0218579	0.0202334	0.0202334	0.0194949	0.0190518	0.0186088	0.0186088	0.018018	0.0171319	0.0119628	0.0258455	0.0218579	0.0208241	0.0205287	0.0202334	0.0212672	0.0189042	0.0191995	0.0193472	0.0194949	0.0187565	0.0181657	0.0177226	0.0178703	0.0171319	0.0178703	0.017575
0.047	0.0206764	0.0171319	0.0323438	0.042682	0.0255501	0.0251071	0.0231871	0.0239256	0.0225964	0.0209718	0.0209718	0.020381	0.0194949	0.0189042	0.0194949	0.0186088	0.0177226	0.0129966	0.0282085	0.0228918	0.0214149	0.0208241	0.0218579	0.0212672	0.0197903	0.0206764	0.0191995	0.0193472	0.0193472	0.0190518	0.0193472	0.0189042	0.0177226	0.0190518	0.0184611
