Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.00561217	0.00575986	0.00546448	0.00561217	0.00561217	0.00590755	0.00590755	0.00664599	0.00635062	0.00561217	0.00694137	0.00605524	0.266135	0.00664599	0.00620293	0.00531679	0.00635062	0.00575986	0.00575986	0.00635062	0.00590755	0.00561217	0.00546448	0.00620293	0.00635062	0.00635062	0.00590755	0.00620293	0.00561217	0.00605524	0.00620293	0.00694137	0.0064983	0.00605524	0.00605524
0.023	0.00575986	0.00605524	0.00575986	0.00546448	0.00590755	0.0064983	0.00620293	0.00738444	0.00561217	0.00679368	0.00561217	0.00561217	0.00575986	0.00605524	0.0064983	0.00575986	0.00620293	0.00605524	0.00753213	0.00605524	0.00635062	0.00620293	0.00605524	0.0064983	0.00694137	0.00546448	0.00605524	0.00590755	0.00590755	0.00575986	0.00605524	0.00605524	0.00590755	0.00664599	0.00605524
0.026	0.018018	0.013292	0.0339684	0.0274701	0.0248117	0.0239256	0.0230394	0.0225964	0.0220056	0.0202334	0.0200857	0.0205287	0.0181657	0.0187565	0.0187565	0.0191995	0.0166888	0.0122582	0.0282085	0.0225964	0.022301	0.0206764	0.0205287	0.0194949	0.019938	0.0196426	0.0194949	0.0187565	0.0184611	0.0187565	0.0181657	0.0187565	0.0169842	0.0184611	0.0177226
0.029	0.0239256	0.0144735	0.0400236	0.0330823	0.0298331	0.0292424	0.0277655	0.0264363	0.0264363	0.0251071	0.024221	0.0230394	0.0227441	0.0218579	0.0230394	0.0218579	0.019938	0.0137351	0.0329346	0.0283562	0.0254025	0.0251071	0.0245163	0.0233348	0.0249594	0.0230394	0.0224487	0.0228918	0.0228918	0.0221533	0.0220056	0.0215626	0.0200857	0.0211195	0.0212672
0.032	0.0259932	0.0160981	0.0431251	0.035593	0.0324915	0.0321961	0.0298331	0.0298331	0.0286516	0.0258455	0.026584	0.0252548	0.0251071	0.0245163	0.0245163	0.0239256	0.0209718	0.0155073	0.0354453	0.0310146	0.0277655	0.0267317	0.0264363	0.0256978	0.0256978	0.027027	0.0255501	0.0239256	0.0251071	0.0227441	0.0240733	0.0231871	0.0220056	0.0234825	0.0233348
0.035	0.0273224	0.0171319	0.0463743	0.0378083	0.0348545	0.0339684	0.03323	0.0320485	0.0302762	0.0290947	0.0279132	0.0286516	0.0271747	0.0252548	0.0262886	0.0252548	0.0234825	0.0153596	0.0388421	0.0329346	0.0296854	0.0295377	0.0282085	0.0276178	0.0268793	0.0271747	0.0264363	0.0264363	0.0268793	0.0258455	0.0255501	0.0248117	0.0237779	0.0261409	0.0243686
0.038	0.0295377	0.0186088	0.0484419	0.0416482	0.0382514	0.035593	0.0341161	0.0341161	0.033673	0.0304239	0.0304239	0.0299808	0.0283562	0.0279132	0.0287993	0.0273224	0.0261409	0.0168365	0.0415005	0.0344115	0.0323438	0.0307193	0.0304239	0.0290947	0.028947	0.0286516	0.0276178	0.0287993	0.0279132	0.0271747	0.0268793	0.0267317	0.0254025	0.0273224	0.0252548
0.041	0.0307193	0.0209718	0.0515434	0.0440112	0.0401713	0.0382514	0.0367745	0.0361837	0.0342638	0.0333777	0.0335253	0.0308669	0.0307193	0.0286516	0.0296854	0.0286516	0.0259932	0.0178703	0.0432728	0.0351499	0.0347069	0.0326392	0.0321961	0.0317531	0.0305716	0.0301285	0.0307193	0.0285039	0.0283562	0.0285039	0.0282085	0.0280609	0.027027	0.0280609	0.0302762
0.044	0.0330823	0.0236302	0.0549402	0.0661646	0.0431251	0.0410575	0.0388421	0.037956	0.0373652	0.0347069	0.0341161	0.0333777	0.0311623	0.0302762	0.0308669	0.0302762	0.027027	0.0181657	0.0448974	0.0372176	0.0350022	0.0351499	0.033673	0.0329346	0.03323	0.0327869	0.0314577	0.0317531	0.0308669	0.0299808	0.0311623	0.0304239	0.0286516	0.0320485	0.0280609
0.047	0.0348545	0.0296854	0.0570078	0.0508049	0.0438636	0.0432728	0.0406144	0.039876	0.0382514	0.035593	0.0364791	0.0347069	0.0338207	0.0324915	0.0333777	0.0320485	0.0287993	0.0190518	0.0472604	0.0400236	0.0383991	0.0364791	0.0352976	0.0354453	0.0342638	0.0330823	0.0333777	0.0327869	0.0327869	0.0323438	0.0327869	0.03131	0.0305716	0.0308669	0.0296854
0.05	0.0358884	0.0459312	0.0590755	0.0508049	0.0453404	0.0448974	0.0423867	0.0410575	0.0404667	0.037956	0.0376606	0.0351499	0.0351499	0.0335253	0.0357407	0.0333777	0.0304239	0.0200857	0.0503619	0.0425344	0.0386944	0.0376606	0.0364791	0.0369222	0.0358884	0.0347069	0.0350022	0.0338207	0.0339684	0.0330823	0.0327869	0.0326392	0.0310146	0.0324915	0.03131
0.053	0.037956	0.0708906	0.0624723	0.0519864	0.0490327	0.0451928	0.0451928	0.0437159	0.0429774	0.0391375	0.0385468	0.0372176	0.0366268	0.0358884	0.0354453	0.0351499	0.0308669	0.0209718	0.0515434	0.0420913	0.0407621	0.0395806	0.0391375	0.0386944	0.0376606	0.0369222	0.0373652	0.0357407	0.0361837	0.0361837	0.0341161	0.0327869	0.0341161	0.0333777	0.0341161
0.056	0.0389898	0.0818196	0.0648354	0.0546448	0.0502142	0.0490327	0.0456358	0.0450451	0.044602	0.0413528	0.0412052	0.0391375	0.0369222	0.036036	0.0376606	0.0351499	0.0326392	0.0221533	0.0988038	0.0779796	0.0685276	0.0614385	0.0561217	0.049328	0.0383991	0.0383991	0.0383991	0.0363314	0.0369222	0.0364791	0.0357407	0.0324915	0.0344115	0.035593	0.0347069
0.059	0.039876	0.0871363	0.0679368	0.0571555	0.0524295	0.0502142	0.0491803	0.0474081	0.0463743	0.0428297	0.0413528	0.0409098	0.0397283	0.0376606	0.0383991	0.0378083	0.0341161	0.0240733	0.103234	0.0831488	0.0739921	0.0664599	0.058337	0.0546448	0.0401713	0.039876	0.0386944	0.0386944	0.0375129	0.0378083	0.0370699	0.0321961	0.0358884	0.0372176	0.035593
0.062	0.0416482	0.0921578	0.0705952	0.0584847	0.0544971	0.0515434	0.0502142	0.049328	0.0477035	0.0448974	0.0431251	0.0419436	0.0415005	0.0392852	0.0401713	0.0389898	0.0352976	0.0243686	0.107074	0.087284	0.0781273	0.0701521	0.0636538	0.0571555	0.0435682	0.0401713	0.0407621	0.039876	0.0395806	0.0392852	0.0389898	0.0324915	0.0381037	0.0375129	0.0366268
0.065	0.0434205	0.0974746	0.0723675	0.0604047	0.0561217	0.0543495	0.0524295	0.0497711	0.0496234	0.0459312	0.0443066	0.0438636	0.0420913	0.0406144	0.0415005	0.039876	0.0366268	0.0267317	0.110767	0.0921578	0.0812288	0.0744351	0.066903	0.0614385	0.0465219	0.042239	0.0415005	0.0410575	0.0400236	0.0412052	0.039876	0.0320485	0.0383991	0.0392852	0.0386944
0.068	0.0443066	0.103382	0.0734013	0.0630631	0.0584847	0.0550879	0.0537587	0.0527249	0.0511003	0.048885	0.0465219	0.0453404	0.0434205	0.042682	0.171319	0.142667	0.116379	0.0301285	0.116083	0.0940777	0.0841826	0.077832	0.0689706	0.0635062	0.049328	0.0435682	0.0423867	0.0420913	0.0420913	0.0417959	0.0410575	0.0329346	0.040319	0.0401713	0.0391375
0.071	0.0460789	0.105302	0.075912	0.0640969	0.0596662	0.0567125	0.0556787	0.0547925	0.0528726	0.0490327	0.0490327	0.0459312	0.0459312	0.0428297	0.157288	0.140747	0.117708	0.0335253	0.120514	0.0971792	0.0877271	0.0813765	0.0707429	0.06454	0.0509526	0.0454881	0.044602	0.0434205	0.042682	0.0429774	0.0419436	0.0373652	0.0409098	0.0416482	0.040319
0.074	0.0471127	0.108699	0.0788658	0.0664599	0.0623246	0.0587801	0.0587801	0.0567125	0.0540541	0.0508049	0.0491803	0.0487373	0.0465219	0.0453404	0.162015	0.144292	0.120809	0.112539	0.123468	0.102053	0.0896471	0.0832964	0.0722198	0.0666076	0.0499188	0.0462266	0.0456358	0.0447497	0.0437159	0.0447497	0.0431251	0.0409098	0.042239	0.0419436	0.0415005
0.077	0.0481465	0.113573	0.0812288	0.0695614	0.0638015	0.0612908	0.0598139	0.0584847	0.055531	0.0530203	0.0506572	0.049328	0.0484419	0.190518	0.166593	0.14695	0.124797	0.11121	0.126865	0.105893	0.0933393	0.0850687	0.0738444	0.0670507	0.0527249	0.0471127	0.046965	0.0448974	0.0459312	0.0441589	0.0448974	0.0438636	0.0444543	0.0437159	0.0432728
