Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	1.99383e-005	1.18611e-005	2.4047e-005	1.9575e-005	9.33487e-006	1.85389e-005	2.97678e-005	2.83682e-005	2.27706e-005	1.49141e-005	1.53189e-005	8.09473e-006	5.40407e-006	1.51515e-005	4.40097e-006	9.03377e-006	9.5483e-006	8.1349e-006	8.5124e-006	6.79053e-006	7.22047e-006	2.35503e-005	3.51461e-006	4.11491e-005	9.6646e-006	1.09806e-005	1.17987e-005	1.43428e-005	4.79602e-006	1.00167e-005	7.32839e-006	8.73503e-006	1.18596e-005	9.26766e-006	1.25468e-005
0.023	2.1717e-005	1.13712e-005	1.56393e-005	1.53567e-005	1.18642e-005	2.21751e-005	1.40119e-005	1.89606e-005	4.17993e-006	1.64734e-005	1.68961e-005	1.30163e-005	1.2313e-005	1.46292e-005	2.58038e-006	2.26846e-005	1.31882e-005	1.85509e-005	5.99403e-006	6.71782e-006	3.35369e-005	2.55604e-005	9.22882e-006	1.23394e-005	1.14798e-005	2.31549e-005	5.69446e-006	4.85507e-006	1.2517e-005	1.85797e-005	1.4392e-005	2.16778e-005	1.69734e-005	1.097e-005	1.9179e-005
0.026	1.24018e-005	8.85237e-006	2.46286e-005	1.20629e-005	6.95263e-006	2.57013e-005	2.92256e-005	1.17824e-005	5.77206e-006	3.90543e-006	1.11554e-005	7.46187e-006	1.04074e-005	1.03006e-005	1.95806e-005	2.14673e-005	1.45649e-005	1.31705e-005	1.64023e-005	3.33287e-006	2.97699e-005	3.8565e-005	1.30119e-005	1.46933e-005	9.99719e-006	1.57226e-005	4.85364e-005	1.19837e-005	1.38007e-005	3.2965e-005	5.70685e-006	2.51954e-005	9.40567e-006	6.77533e-006	1.32814e-005
0.029	1.54685e-005	1.32544e-006	6.96372e-006	1.73639e-005	9.11461e-006	1.72462e-005	1.18196e-005	1.18605e-005	1.41065e-005	2.02125e-005	3.98253e-005	1.61445e-005	1.73143e-005	1.08717e-005	8.76351e-006	7.08575e-006	2.63491e-005	1.96983e-005	6.25093e-006	2.51522e-005	2.4949e-005	2.88571e-005	1.65013e-005	1.15486e-005	2.55854e-005	1.8005e-005	2.83255e-005	1.79934e-005	1.54289e-005	6.78067e-006	2.28472e-005	6.81599e-006	1.63738e-005	1.19249e-005	1.01593e-005
0.032	1.60413e-005	2.23701e-005	1.29491e-005	1.25057e-005	1.94817e-005	1.71182e-005	5.39511e-006	1.27936e-005	2.51246e-005	1.26791e-005	1.52347e-005	4.57739e-006	1.34755e-005	2.34162e-005	2.76095e-005	2.32065e-005	3.19623e-005	2.38309e-005	1.24219e-005	2.35341e-005	9.5251e-006	2.42672e-005	2.57114e-005	6.69195e-006	1.08002e-005	4.88109e-006	5.78668e-007	2.64003e-005	1.74544e-005	1.37614e-005	2.09222e-005	2.69915e-005	3.1785e-005	1.38234e-005	9.5841e-006
0.035	1.20076e-005	5.94153e-006	6.81103e-006	1.46737e-005	1.34162e-005	1.41259e-005	2.98382e-005	7.96636e-006	1.85996e-006	1.68899e-005	1.46169e-005	1.00862e-005	1.21208e-005	1.08322e-005	2.89506e-005	1.68865e-005	6.78012e-006	1.75749e-005	2.38388e-005	1.66677e-005	2.63677e-005	7.90859e-006	6.99034e-006	1.21206e-005	1.44582e-005	1.50554e-005	2.67308e-005	7.73154e-006	2.05186e-005	1.72086e-005	6.27859e-006	1.81854e-005	1.99282e-005	2.05039e-005	3.16029e-005
0.038	3.17574e-006	7.03752e-006	1.92339e-006	2.50718e-005	1.0593e-005	1.49558e-005	1.17493e-005	1.89329e-005	4.34513e-006	1.26793e-005	1.47467e-005	1.20706e-005	9.39736e-006	2.42255e-005	1.27431e-005	6.32173e-006	1.49061e-005	1.02649e-005	2.01632e-005	1.5242e-005	1.40235e-005	1.20765e-005	2.59256e-005	1.37077e-005	1.42593e-005	1.55717e-005	3.26507e-005	2.0184e-005	2.5806e-005	1.19615e-005	5.92758e-006	1.65524e-005	1.76023e-005	5.33633e-006	1.11481e-005
0.041	4.38912e-006	6.18939e-006	2.83488e-005	1.17103e-005	1.58754e-005	4.73825e-006	1.02887e-005	2.36074e-005	1.84711e-005	5.1298e-006	1.47358e-005	8.58033e-006	3.25246e-005	1.71562e-005	2.71184e-006	1.26406e-005	1.19145e-005	2.21861e-005	3.23064e-005	1.10508e-005	2.7964e-005	1.88046e-005	2.16626e-005	1.11723e-006	2.56525e-005	1.13496e-005	4.76606e-005	1.35172e-005	2.01452e-005	2.98233e-005	1.78029e-005	5.41545e-006	2.28995e-005	9.35805e-006	2.30081e-006
0.044	8.78638e-006	1.60754e-005	5.51926e-006	7.51494e-006	1.31867e-005	1.90267e-005	1.22322e-005	2.55959e-005	1.09304e-005	1.61526e-005	1.78341e-006	1.57409e-005	1.68718e-005	3.77408e-006	1.43652e-005	6.25144e-006	8.6071e-006	3.01719e-005	1.09896e-005	2.30498e-005	1.50322e-005	3.69355e-006	2.41925e-005	1.87986e-005	3.50361e-006	2.7323e-006	2.85827e-005	1.61081e-005	2.73725e-005	2.53188e-005	2.97959e-005	9.86552e-006	1.64377e-006	1.54608e-005	1.31322e-005
0.047	6.82199e-006	9.70374e-006	7.83481e-006	2.22034e-005	3.02722e-005	1.02336e-005	8.28338e-006	1.7497e-005	1.14606e-005	7.44569e-006	6.54319e-006	3.58013e-005	2.06953e-005	1.82102e-005	2.25427e-005	2.87746e-005	2.27429e-005	1.83827e-005	2.89853e-005	2.81415e-005	2.37118e-005	1.48025e-005	5.95311e-006	1.3136e-005	7.99067e-006	3.03355e-005	1.58741e-005	4.51985e-006	5.40597e-006	9.17325e-006	6.86538e-006	1.3917e-005	1.65862e-005	1.3256e-005	1.46417e-005
