Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.9899	1.46897	1.11292	0.992027	0.960704	0.942171	0.930092	0.924388	0.918293	0.909578	0.898126	0.894413	0.889038	0.898816	0.95426	0.8986	0.890354	1.22835	1.01155	0.877934	0.851123	0.83703	0.818305	0.805683	0.803972	0.787406	0.769611	0.765186	0.761794	0.75484	0.745175	0.732632	0.750021	0.731294	0.718929
0.023	0.990784	1.5509	1.11129	0.991444	0.959821	0.94539	0.934315	0.926885	0.919041	0.912384	0.899916	0.896723	0.88468	0.901952	0.954086	0.899034	0.88968	1.25476	1.00768	0.874985	0.855214	0.82696	0.812375	0.802659	0.794042	0.788212	0.77646	0.770559	0.758151	0.753414	0.742822	0.735333	0.749951	0.73159	0.722122
0.026	0.991678	1.62925	1.1069	0.990809	0.958084	0.943826	0.932361	0.924903	0.916766	0.908869	0.902345	0.887459	0.887235	0.899761	0.950195	0.895194	0.89013	1.27788	1.00645	0.879143	0.850255	0.833213	0.815143	0.804676	0.789195	0.785561	0.774816	0.766451	0.762484	0.753013	0.745058	0.736253	0.753186	0.73578	0.714038
0.029	0.992786	1.70583	1.10299	0.990802	0.959828	0.943635	0.936854	0.92851	0.915781	0.912468	0.901545	0.891892	0.891781	0.903676	0.950347	0.899442	0.887543	1.31183	1.00082	0.877896	0.851203	0.832443	0.81918	0.805077	0.796381	0.782475	0.77898	0.768408	0.761178	0.755899	0.743065	0.73497	0.75302	0.735281	0.715739
0.032	0.996807	1.78378	1.0988	0.99104	0.960308	0.94369	0.934812	0.92845	0.919036	0.912634	0.901101	0.888495	0.89006	0.903275	0.952151	0.89752	0.887214	1.35014	0.997785	0.877526	0.852829	0.835946	0.815438	0.805382	0.797747	0.78459	0.776174	0.766146	0.761574	0.751947	0.746981	0.736328	0.75997	0.733943	0.719882
0.035	0.994387	1.86533	1.09423	0.987942	0.960075	0.942154	0.932341	0.92706	0.920346	0.910588	0.899988	0.88941	0.887548	0.902844	0.949403	0.893422	0.892588	1.37995	0.996291	0.87637	0.85356	0.833861	0.817299	0.807377	0.796532	0.786648	0.774152	0.768487	0.764987	0.75533	0.745161	0.738674	0.775032	0.734016	0.723016
0.038	0.993152	1.95247	1.09231	0.98975	0.960275	0.944098	0.933764	0.925701	0.918172	0.909925	0.902502	0.892624	0.8899	0.900714	0.949507	0.892797	0.889456	1.42109	0.993294	0.880247	0.85403	0.834194	0.818195	0.809007	0.798658	0.789351	0.775217	0.770966	0.76158	0.75579	0.748194	0.740434	0.789207	0.735507	0.720216
0.041	0.997068	2.08194	1.09041	0.990917	0.959151	0.943734	0.935734	0.927326	0.918878	0.912637	0.903312	0.893753	0.890468	0.903458	0.94688	0.897464	0.887402	1.45969	0.992224	0.877972	0.852078	0.836191	0.821053	0.807858	0.798286	0.789082	0.779094	0.768427	0.764999	0.758657	0.751643	0.735085	0.803526	0.73887	0.723084
0.044	0.998921	2.23941	1.08676	0.989371	0.960446	0.94486	0.934406	0.927875	0.920085	0.910553	0.903279	0.890211	0.887711	0.90534	0.943591	0.894131	0.891661	1.49529	0.989395	0.879527	0.855707	0.834893	0.819086	0.8089	0.796604	0.788794	0.779424	0.772168	0.766505	0.758004	0.747099	0.739103	0.816606	0.740446	0.724796
0.047	1.00024	2.36813	1.08233	0.989415	0.960467	0.947557	0.934174	0.928749	0.920397	0.907916	0.89972	0.89254	0.889288	0.904294	0.944585	0.893069	0.889497	1.54054	0.98558	0.877397	0.853558	0.835729	0.819169	0.807684	0.798693	0.789631	0.781355	0.774179	0.771249	0.759853	0.750809	0.740771	0.825856	0.741431	0.724623
