Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
3000	0.000567487	0.000687955	0.000829391	0.000981675	0.00111662	0.00127567	0.0014324	0.00156401	0.0016936	0.00185358	0.00199421	0.00211459	0.00228176	0.00241373	0.0025843	0.0027498	0.00287044	0.00304654	0.00318381	0.00332946	0.00350416	0.00361628	0.00380908	0.00394874	0.00412505	0.00427157	0.00443625	0.00460387	0.00473863	0.00487987	0.00505863	0.00524554	0.00537457	0.00554314	0.00565271	0.00584663
3005	0.000551112	0.000703593	0.000839062	0.000980563	0.0011348	0.00129197	0.00142174	0.00156386	0.00174336	0.00186138	0.00200846	0.00216154	0.00232207	0.00246592	0.00258453	0.00275033	0.00290386	0.00303744	0.00320462	0.00332814	0.00351468	0.00363828	0.00381734	0.00398882	0.00413304	0.0042728	0.00445487	0.00460224	0.00477113	0.0049263	0.005108	0.00527528	0.00539584	0.0055661	0.00570877	0.00587953
3010	0.0005811	0.000701766	0.000854392	0.00101107	0.00112663	0.00130736	0.00144714	0.00157931	0.00174225	0.00188646	0.00203165	0.00218308	0.00232844	0.00246987	0.00259245	0.00276726	0.00290356	0.00306791	0.00324116	0.00336068	0.00352466	0.00367323	0.0038411	0.0039925	0.00417125	0.0043207	0.00446183	0.00462466	0.0047724	0.00494952	0.00513152	0.00529853	0.00544005	0.00560249	0.00572747	0.00590792
3015	0.000587126	0.000695899	0.00088583	0.00100951	0.00114724	0.00130575	0.00143999	0.00158077	0.00174823	0.00190581	0.00204463	0.00219643	0.00232982	0.00247382	0.00263249	0.00277716	0.00292107	0.00307146	0.00324319	0.00337033	0.00356858	0.00372017	0.00385496	0.00404744	0.00419469	0.00433973	0.00451335	0.00466287	0.00482968	0.00498105	0.00517091	0.00532887	0.00546474	0.00562924	0.0057552	0.00596294
3020	0.000582574	0.000720866	0.000893842	0.00101413	0.0011726	0.00132381	0.00146271	0.00159996	0.00175935	0.00191524	0.00206603	0.00220997	0.00236413	0.00252239	0.00268286	0.00280164	0.00294742	0.00313954	0.00329777	0.00342185	0.00361621	0.00374756	0.00390271	0.0040568	0.00425477	0.0043945	0.00456284	0.00471453	0.00487429	0.00505352	0.0052334	0.00538067	0.00555333	0.00569178	0.00579965	0.00600736
3025	0.000588702	0.000735473	0.000899292	0.00103324	0.00116839	0.001314	0.00147373	0.00161446	0.00175773	0.00191972	0.00207248	0.00223831	0.00238532	0.00254266	0.00266418	0.00285381	0.00298316	0.00315475	0.00330198	0.00345907	0.00363928	0.00378531	0.00393009	0.00409322	0.00426703	0.00441064	0.00459352	0.00475927	0.00491618	0.00507319	0.00527246	0.00540323	0.00559237	0.00572096	0.00585337	0.00609469
3030	0.000600524	0.000721938	0.000887497	0.00103544	0.00118067	0.0013328	0.0014832	0.00164854	0.0017878	0.00192273	0.00207249	0.00225423	0.00239398	0.00256394	0.0027083	0.00285848	0.00300533	0.00314556	0.0033266	0.00347871	0.00363902	0.00380562	0.0039395	0.00410463	0.0043002	0.00444132	0.00459973	0.00477727	0.00494463	0.00512022	0.00528639	0.00547674	0.00561963	0.00572872	0.00590075	0.00611046
3035	0.000583513	0.000730071	0.000893508	0.00102811	0.00119347	0.00136308	0.00149424	0.0016272	0.00178992	0.00194252	0.00210644	0.00224151	0.0023912	0.00256161	0.00271466	0.00288174	0.00303937	0.00317701	0.0033538	0.0034736	0.00368832	0.00381386	0.00397043	0.0041383	0.00432658	0.00447917	0.00463239	0.00480351	0.00496847	0.00513901	0.00531965	0.00551071	0.0056389	0.00577666	0.00589315	0.00613206
3040	0.000608321	0.000764193	0.000891646	0.0010314	0.00118306	0.00134597	0.0014897	0.001652	0.00180873	0.00194225	0.00210676	0.00226306	0.00244235	0.00256655	0.00272484	0.0029178	0.0030484	0.00320153	0.00337809	0.00351985	0.00367762	0.00383747	0.00402878	0.00415925	0.00434711	0.00450258	0.00467214	0.00482704	0.00498171	0.00516904	0.00536391	0.00550188	0.00568093	0.00581642	0.00595988	0.00619074
3045	0.000581485	0.000754664	0.000906007	0.00104745	0.0011866	0.00135635	0.00150587	0.0016782	0.00183229	0.0019571	0.00212659	0.00227622	0.00242833	0.00260648	0.00273018	0.00288348	0.00305752	0.00321688	0.00338565	0.00354489	0.00371018	0.00387862	0.00403055	0.00418495	0.00434918	0.00452644	0.00470841	0.0048686	0.00504408	0.00517417	0.00537055	0.00556334	0.00569509	0.00584853	0.00597647	0.00621236
3050	0.000612484	0.000742488	0.000899856	0.00104455	0.00119498	0.00134531	0.00151503	0.00166385	0.00184411	0.0019777	0.00214025	0.00228245	0.0024532	0.00259647	0.0027567	0.00289756	0.00307725	0.00323465	0.00337937	0.00353962	0.00370936	0.00388531	0.00406072	0.00420391	0.00437216	0.00455941	0.00472407	0.00485194	0.00503688	0.00520435	0.00539386	0.00559102	0.00572193	0.00590349	0.00603028	0.006261
3055	0.000598131	0.000743753	0.000898676	0.00104587	0.00123926	0.00137427	0.00152196	0.0016808	0.00183879	0.00199416	0.00213256	0.00230342	0.00245013	0.00261521	0.00276716	0.00292749	0.00308275	0.00324847	0.00339369	0.00358728	0.00376411	0.00390614	0.00406142	0.00423595	0.00441342	0.00460375	0.00475041	0.00491131	0.00507624	0.0052406	0.00543871	0.00563171	0.00575012	0.00591481	0.0060522	0.00625992
