Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
3000	-1.76559	-1.76345	-1.73698	-1.77091	-1.76168	-1.75953	-1.76342	-1.76575	-1.74828	-1.74029	-1.77064	-1.77231	-1.77422	-1.77212	-1.76613	-1.76431	-1.76646	-1.77567	-1.77072	-1.76724	-1.77389	-1.77886	-1.77669	-1.77272	-1.77246	-1.77674	-1.77803	-1.78194	-1.78065	-1.77826	-1.78102	-1.78622	-1.7843	-1.78493	-1.78401	-1.78327
3005	-1.73893	-1.79751	-1.73598	-1.78369	-1.76686	-1.76251	-1.76678	-1.76229	-1.76852	-1.78332	-1.7755	-1.77667	-1.76556	-1.76467	-1.77116	-1.77839	-1.76524	-1.76908	-1.76995	-1.77455	-1.78059	-1.77614	-1.77036	-1.7801	-1.77661	-1.77793	-1.7811	-1.7795	-1.78698	-1.78251	-1.78948	-1.78606	-1.79043	-1.78578	-1.78919	-1.78613
3010	-1.77437	-1.78416	-1.75994	-1.77103	-1.77323	-1.75933	-1.77018	-1.79283	-1.77438	-1.77165	-1.77664	-1.77373	-1.77265	-1.76975	-1.76693	-1.77506	-1.77043	-1.77593	-1.77125	-1.77009	-1.77315	-1.77937	-1.77509	-1.78367	-1.7784	-1.7766	-1.78299	-1.78442	-1.78669	-1.7848	-1.78747	-1.7855	-1.78488	-1.78923	-1.78706	-1.78856
3015	-1.78821	-1.74647	-1.75175	-1.74842	-1.77193	-1.76849	-1.76662	-1.76397	-1.77833	-1.77063	-1.77545	-1.77069	-1.76941	-1.77546	-1.77851	-1.77074	-1.77308	-1.76856	-1.7741	-1.77205	-1.77397	-1.77786	-1.77366	-1.78112	-1.77897	-1.78421	-1.78651	-1.78296	-1.78863	-1.78407	-1.78833	-1.78583	-1.78886	-1.78763	-1.78442	-1.78913
3020	-1.73819	-1.76797	-1.76783	-1.76381	-1.77166	-1.76769	-1.77122	-1.77621	-1.77541	-1.77297	-1.77241	-1.77407	-1.7787	-1.77742	-1.76922	-1.77432	-1.78529	-1.77867	-1.77486	-1.78882	-1.7789	-1.78157	-1.77907	-1.78252	-1.77986	-1.7833	-1.77951	-1.79169	-1.79112	-1.78681	-1.7895	-1.79028	-1.79705	-1.79507	-1.7933	-1.79335
3025	-1.79473	-1.77454	-1.77422	-1.76321	-1.7687	-1.78396	-1.77079	-1.79574	-1.77508	-1.7718	-1.77444	-1.78099	-1.76995	-1.78689	-1.78064	-1.77667	-1.7817	-1.78848	-1.78744	-1.79013	-1.78794	-1.79086	-1.78659	-1.78906	-1.78639	-1.78884	-1.7914	-1.79411	-1.79912	-1.79499	-1.79865	-1.79704	-1.802	-1.79674	-1.79777	-1.79837
3030	-1.76228	-1.76444	-1.77812	-1.78171	-1.80518	-1.78479	-1.78222	-1.78287	-1.78988	-1.7864	-1.79576	-1.78227	-1.78579	-1.7892	-1.78809	-1.78395	-1.79319	-1.78707	-1.78753	-1.79414	-1.79388	-1.79434	-1.79403	-1.79505	-1.79421	-1.79249	-1.80366	-1.79619	-1.80318	-1.80101	-1.80123	-1.80213	-1.80311	-1.80281	-1.80163	-1.80382
3035	-1.77892	-1.77348	-1.77695	-1.74625	-1.76965	-1.78577	-1.78829	-1.79511	-1.78265	-1.798	-1.77307	-1.78612	-1.79161	-1.79798	-1.79268	-1.79605	-1.78498	-1.7998	-1.7978	-1.79417	-1.79779	-1.79909	-1.80054	-1.7975	-1.79706	-1.79467	-1.80419	-1.80338	-1.80993	-1.80447	-1.80318	-1.80713	-1.81131	-1.80573	-1.81228	-1.81098
3040	-1.81788	-1.81077	-1.77527	-1.79534	-1.79664	-1.77535	-1.77617	-1.79532	-1.79189	-1.79214	-1.78574	-1.79572	-1.79157	-1.79823	-1.79396	-1.80165	-1.79466	-1.79941	-1.80069	-1.79944	-1.79681	-1.80968	-1.80271	-1.80665	-1.80064	-1.80816	-1.80829	-1.80726	-1.81473	-1.8097	-1.81303	-1.8126	-1.81693	-1.81656	-1.81189	-1.81243
3045	-1.82139	-1.78814	-1.8124	-1.79148	-1.80764	-1.78692	-1.80103	-1.8002	-1.79431	-1.79848	-1.80373	-1.80043	-1.80283	-1.79612	-1.79736	-1.80783	-1.80532	-1.80245	-1.8068	-1.80188	-1.80702	-1.79916	-1.81343	-1.80994	-1.80885	-1.81129	-1.81639	-1.81198	-1.81676	-1.81886	-1.81456	-1.81738	-1.82007	-1.82258	-1.81988	-1.82052
3050	-1.81701	-1.7996	-1.78638	-1.7928	-1.78821	-1.79314	-1.80598	-1.79912	-1.80281	-1.81028	-1.80168	-1.81173	-1.80791	-1.80678	-1.81565	-1.8121	-1.81489	-1.80733	-1.8101	-1.81396	-1.80751	-1.82241	-1.81461	-1.81475	-1.82032	-1.82141	-1.81959	-1.82018	-1.81886	-1.82143	-1.82379	-1.82418	-1.82615	-1.8241	-1.82146	-1.82155
3055	-1.79853	-1.79449	-1.80562	-1.80483	-1.7939	-1.80613	-1.80222	-1.80854	-1.79768	-1.81877	-1.81141	-1.80905	-1.80675	-1.82027	-1.8018	-1.8042	-1.80808	-1.80801	-1.81888	-1.81727	-1.8193	-1.81246	-1.82273	-1.82594	-1.82169	-1.819	-1.82461	-1.82455	-1.82384	-1.82991	-1.82794	-1.83272	-1.83299	-1.82946	-1.82293	-1.83086
3060	-1.85568	-1.80532	-1.82033	-1.81331	-1.80382	-1.81411	-1.83217	-1.81936	-1.80585	-1.82127	-1.81997	-1.82078	-1.82143	-1.82606	-1.8191	-1.81084	-1.82015	-1.82165	-1.82595	-1.82316	-1.81804	-1.82821	-1.82941	-1.82795	-1.82619	-1.8246	-1.82876	-1.8271	-1.83108	-1.83206	-1.83108	-1.83635	-1.83612	-1.83775	-1.83076	-1.83467
3065	-1.80218	-1.81004	-1.82266	-1.81794	-1.80562	-1.83131	-1.84066	-1.81249	-1.8274	-1.80784	-1.8286	-1.81897	-1.8234	-1.82498	-1.82549	-1.82096	-1.81995	-1.83138	-1.82857	-1.82734	-1.82934	-1.82846	-1.83223	-1.82922	-1.83287	-1.83265	-1.8317	-1.83638	-1.83868	-1.8377	-1.84142	-1.84078	-1.84283	-1.83829	-1.8358	-1.84162
3070	-1.81969	-1.8325	-1.81746	-1.82984	-1.82301	-1.82444	-1.83416	-1.82779	-1.82571	-1.82912	-1.82705	-1.83988	-1.83264	-1.83885	-1.83376	-1.83207	-1.83491	-1.8336	-1.83007	-1.83331	-1.83581	-1.83926	-1.83819	-1.83756	-1.84116	-1.84113	-1.84286	-1.84163	-1.84755	-1.84263	-1.84606	-1.85031	-1.85025	-1.84974	-1.8459	-1.84515
3075	-1.79559	-1.83992	-1.81251	-1.8347	-1.8306	-1.83609	-1.8214	-1.82592	-1.82464	-1.83798	-1.83212	-1.83089	-1.83553	-1.84255	-1.84214	-1.83887	-1.83762	-1.83657	-1.8371	-1.84059	-1.84103	-1.84625	-1.83971	-1.84244	-1.84222	-1.84492	-1.84629	-1.84558	-1.85239	-1.8433	-1.84797	-1.84865	-1.849	-1.85397	-1.84962	-1.85161
3080	-1.82671	-1.84693	-1.83965	-1.82611	-1.82953	-1.83274	-1.82762	-1.83391	-1.83207	-1.83579	-1.8395	-1.83843	-1.84341	-1.84163	-1.8376	-1.8388	-1.83868	-1.84488	-1.83875	-1.84133	-1.84801	-1.84704	-1.84984	-1.84569	-1.84236	-1.84651	-1.85042	-1.85018	-1.8512	-1.85399	-1.85066	-1.85612	-1.85361	-1.85426	-1.85217	-1.8542
