Reference Amplitude (V)	6850Hz
0.02	0.938451
0.023	0.950737
0.026	0.958961
0.029	0.965972
0.032	0.969514
0.035	0.972351
0.038	0.97572
0.041	0.976029
0.044	0.979302
0.047	0.981075
0.05	0.981969
0.053	0.982294
0.056	0.983458
0.059	0.983814
0.062	0.984809
0.065	0.984585
0.068	0.985695
0.071	0.985775
0.074	0.985769
0.077	0.985947
0.08	0.98612
0.083	0.986791
0.086	0.98683
0.089	0.986561
0.092	0.986839
0.095	0.0485726
0.098	0.0537984
0.101	0.0565142
0.104	0.0582262
0.107	0.0571371
0.11	0.0590676
0.113	0.062816
0.116	0.0652822
0.119	0.0670879
0.122	0.0683095
0.125	0.0705136
0.128	0.071967
0.13	0.0706528
0.127	0.0713533
0.124	0.0714667
0.121	0.0694912
0.118	0.0680859
0.115	0.0664648
0.112	0.0659451
0.109	0.0647946
0.106	0.062568
0.103	0.0628727
0.1	0.0603858
0.097	0.0615598
0.094	0.0586516
0.091	0.057046
0.088	0.0580955
0.085	0.0547044
0.082	0.0555313
0.079	0.0536686
0.076	0.0512837
0.073	0.0508962
0.07	0.0490337
0.067	0.0470142
0.064	0.0458515
0.061	0.0451495
0.058	0.979657
0.055	0.979265
0.052	0.978434
0.049	0.977571
0.046	0.97714
0.043	0.973695
0.04	0.971936
0.037	0.969143
0.034	0.964917
0.031	0.961837
0.028	0.957499
0.025	0.948785
0.022	0.935282
