Reference Amplitude (V)	6850Hz
0.02	76.5106
0.023	100.523
0.026	126.896
0.029	160.049
0.032	190.646
0.035	229.851
0.038	268.27
0.041	307.543
0.044	350.889
0.047	390.269
0.05	430.931
0.053	475.114
0.056	515.587
0.059	560.991
0.062	598.769
0.065	642.997
0.068	681.633
0.071	715.194
0.074	741.917
0.077	760.586
0.08	785.8
0.083	819.875
0.086	837.976
0.089	859.411
0.092	900.788
0.095	927.708
0.098	955.91
0.101	991.763
0.104	1022.96
0.107	1005.84
0.11	1053.76
0.113	1136.22
0.116	1196.64
0.119	1247.25
0.122	1281.76
0.125	1337.41
0.128	1386.83
0.13	1349.87
0.127	1313.78
0.124	1269.61
0.121	1197.09
0.118	1129.32
0.115	1064.54
0.112	1015.81
0.109	968.248
0.106	906.023
0.103	883.454
0.1	814.574
0.097	797.195
0.094	730.327
0.091	682.309
0.088	670.066
0.085	596.568
0.082	584.658
0.079	532.717
0.076	485.415
0.073	461.336
0.07	417.89
0.067	375.075
0.064	335.393
0.061	288.798
0.058	340.612
0.055	320.574
0.052	303.698
0.049	280.025
0.046	254.257
0.043	233.395
0.04	208.78
0.037	183.298
0.034	162.267
0.031	136.719
0.028	114.284
0.025	93.8234
0.022	73.7261
