Reference Amplitude (V)	6850Hz
0.02	81.5285
0.023	105.732
0.026	132.327
0.029	165.687
0.032	196.641
0.035	236.387
0.038	274.946
0.041	315.096
0.044	358.305
0.047	397.797
0.05	438.844
0.053	483.678
0.056	524.259
0.059	570.22
0.062	608.006
0.065	653.064
0.068	691.526
0.071	725.515
0.074	752.628
0.077	771.427
0.08	796.861
0.083	830.85
0.086	849.159
0.089	871.118
0.092	912.802
0.095	19099.4
0.098	17768.4
0.101	17548.9
0.104	17568.8
0.107	17603.9
0.11	17839.9
0.113	18088.1
0.116	18330.3
0.119	18591.3
0.122	18764.1
0.125	18966.8
0.128	19270.3
0.13	19105.7
0.127	18412.3
0.124	17765.1
0.121	17226.4
0.118	16586.7
0.115	16016.6
0.112	15403.8
0.109	14943.3
0.106	14480.6
0.103	14051.5
0.1	13489.5
0.097	12949.9
0.094	12452
0.091	11960.7
0.088	11533.9
0.085	10905.3
0.082	10528.5
0.079	9926.06
0.076	9465.3
0.073	9064.25
0.07	8522.5
0.067	7977.91
0.064	7314.77
0.061	6396.5
0.058	347.685
0.055	327.362
0.052	310.393
0.049	286.449
0.046	260.206
0.043	239.701
0.04	214.808
0.037	189.135
0.034	168.166
0.031	142.144
0.028	119.357
0.025	98.888
0.022	78.8277
