Reference Amplitude (V)	6850Hz
0.02	0.0122467
0.023	0.0126894
0.026	0.0138698
0.029	0.0162306
0.032	0.0166733
0.035	0.0180012
0.038	0.0193292
0.041	0.0206571
0.044	0.0218375
0.047	0.02169
0.05	0.0234606
0.053	0.0247886
0.056	0.0256739
0.059	0.0258214
0.062	0.0271494
0.065	0.0280347
0.068	0.02892
0.071	0.0301004
0.074	0.0299528
0.077	0.0301004
0.08	0.0301004
0.083	0.0312808
0.086	0.0309857
0.089	0.0315759
0.092	0.0324612
0.095	0.155076
0.098	0.151682
0.101	0.149912
0.104	0.151092
0.107	0.149617
0.11	0.151977
0.113	0.154486
0.116	0.153748
0.119	0.155814
0.122	0.157142
0.125	0.156404
0.128	0.15847
0.13	0.156994
0.127	0.154781
0.124	0.152863
0.121	0.151092
0.118	0.147698
0.115	0.14401
0.112	0.141649
0.109	0.139288
0.106	0.138993
0.103	0.136927
0.1	0.132206
0.097	0.130287
0.094	0.128369
0.091	0.126451
0.088	0.124238
0.085	0.119516
0.082	0.118041
0.079	0.11568
0.076	0.111844
0.073	0.110368
0.07	0.107565
0.067	0.104171
0.064	0.099892
0.061	0.0945802
0.058	0.0208047
0.055	0.0219851
0.052	0.0199194
0.049	0.0193292
0.046	0.0184439
0.043	0.0182963
0.04	0.0169684
0.037	0.0160831
0.034	0.0153453
0.031	0.0143124
0.028	0.0135747
0.025	0.0126894
0.022	0.011509
