Reference Amplitude (V)	6850Hz
0.02	0.0228704
0.023	0.0247886
0.026	0.0267067
0.029	0.0311332
0.032	0.0327563
0.035	0.034822
0.038	0.0374779
0.041	0.0393961
0.044	0.0414618
0.047	0.0429373
0.05	0.0451506
0.053	0.0485443
0.056	0.0503149
0.059	0.0510526
0.062	0.0526757
0.065	0.0542987
0.068	0.056512
0.071	0.0576924
0.074	0.0581351
0.077	0.0597581
0.08	0.059463
0.083	0.060791
0.086	0.0609385
0.089	0.0621189
0.092	0.0634469
0.095	0.281085
0.098	0.273412
0.101	0.271936
0.104	0.272674
0.107	0.271936
0.11	0.27533
0.113	0.279314
0.116	0.279166
0.119	0.28374
0.122	0.284773
0.125	0.286249
0.128	0.288757
0.13	0.286249
0.127	0.282117
0.124	0.277838
0.121	0.273707
0.118	0.267362
0.115	0.261313
0.112	0.256444
0.109	0.251574
0.106	0.249066
0.103	0.245377
0.1	0.237852
0.097	0.23313
0.094	0.228556
0.091	0.223982
0.088	0.219703
0.085	0.212031
0.082	0.208637
0.079	0.201997
0.076	0.196243
0.073	0.192849
0.07	0.186357
0.067	0.180307
0.064	0.171012
0.061	0.15965
0.058	0.0405765
0.055	0.0411667
0.052	0.0388059
0.049	0.0374779
0.046	0.0355598
0.043	0.034822
0.04	0.0327563
0.037	0.0303955
0.034	0.0298053
0.031	0.0265592
0.028	0.0253788
0.025	0.0240508
0.022	0.0210998
