Reference Amplitude (V)	6850Hz
0.02	1.49564e-005
0.023	9.14765e-006
0.026	1.3948e-005
0.029	4.89565e-006
0.032	1.39328e-005
0.035	1.58537e-005
0.038	5.77067e-006
0.041	2.93899e-005
0.044	1.20348e-005
0.047	1.86657e-005
0.05	2.26357e-005
0.053	2.97574e-005
0.056	1.50632e-005
0.059	5.71379e-006
0.062	1.38382e-005
0.065	2.09982e-005
0.068	1.45799e-005
0.071	7.22032e-006
0.074	5.86991e-006
0.077	2.17217e-005
0.08	6.82611e-006
0.083	1.08536e-005
0.086	2.01128e-005
0.089	3.6821e-006
0.092	1.22362e-005
0.095	0.0925204
0.098	0.0892606
0.101	0.0886733
0.104	0.0884934
0.107	0.0887107
0.11	0.0892618
0.113	0.0896715
0.116	0.0900801
0.119	0.0906439
0.122	0.0909926
0.125	0.0913557
0.128	0.0920211
0.13	0.0918067
0.127	0.0900352
0.124	0.0884132
0.121	0.0871675
0.118	0.0855859
0.115	0.0841728
0.112	0.0825971
0.109	0.0813955
0.106	0.0803137
0.103	0.0790738
0.1	0.0775211
0.097	0.075897
0.094	0.074561
0.091	0.0731798
0.088	0.0716987
0.085	0.0701786
0.082	0.0687104
0.079	0.0668332
0.076	0.0653469
0.073	0.0639045
0.07	0.0620317
0.067	0.0600188
0.064	0.0575877
0.061	0.0538536
0.058	2.43083e-005
0.055	1.80746e-005
0.052	8.50725e-006
0.049	1.08152e-005
0.046	6.64442e-006
0.043	1.34696e-005
0.04	8.68032e-006
0.037	6.35069e-006
0.034	1.62984e-005
0.031	7.05489e-006
0.028	3.9096e-006
0.025	2.42084e-005
0.022	3.46565e-006
