Reference Amplitude (V)	6850Hz
0.02	2.42806
0.023	-0.650168
0.026	-0.425455
0.029	3.11808
0.032	-1.05369
0.035	-0.517215
0.038	1.60405
0.041	-0.547674
0.044	-0.882609
0.047	0.90922
0.05	-3.07801
0.053	-2.11413
0.056	-0.902619
0.059	-0.0540097
0.062	1.3373
0.065	-0.872625
0.068	0.314774
0.071	0.28991
0.074	-3.07841
0.077	-1.68867
0.08	-2.78306
0.083	-0.57457
0.086	-0.567078
0.089	1.81015
0.092	-2.64822
0.095	3.00741
0.098	2.99482
0.101	2.9839
0.104	2.97422
0.107	2.96481
0.11	2.95596
0.113	2.94686
0.116	2.93825
0.119	2.93014
0.122	2.9229
0.125	2.91574
0.128	2.90897
0.13	2.90542
0.127	2.91189
0.124	2.91924
0.121	2.92681
0.118	2.93516
0.115	2.94376
0.112	2.95329
0.109	2.96294
0.106	2.97383
0.103	2.98429
0.1	2.99708
0.097	3.00949
0.094	3.02392
0.091	3.03823
0.088	3.05419
0.085	3.0731
0.082	3.09228
0.079	3.11527
0.076	3.13933
0.073	-3.11764
0.07	-3.08471
0.067	-3.04902
0.064	-3.00281
0.061	-2.94038
0.058	-2.59685
0.055	2.33963
0.052	1.00793
0.049	3.07862
0.046	-2.40265
0.043	2.5456
0.04	2.1887
0.037	2.49615
0.034	2.17145
0.031	-1.57951
0.028	2.37457
0.025	2.22893
0.022	2.90415
