Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	0.00675314	0.00820466	0.0069981	0.00597035	0.00544773	0.00301507	0.00759103	0.00565285	0.00642171	0.00562181	0.00506249	0.00532459	0.00402548	0.00402836	0.00365677	0.00463969	0.00356389	0.00449568	0.00494137	0.00314586	0.00160981	0.00198523	0.00258307	0.00476462	0.00569932	0.00591641	0.0036373	0.00227721	0.00231064	0.00467404	0.00231559
0.023	0.00841349	0.0101746	0.00659045	0.00873278	0.00816658	0.00302208	0.00828544	0.00766053	0.00642022	0.0074028	0.00787336	0.00678867	0.00427266	0.00477229	0.00549754	0.00461593	0.00568377	0.00642075	0.00532407	0.00460024	0.00230468	0.00207221	0.00273634	0.00611121	0.00618985	0.00542883	0.00372222	0.00254202	0.00232932	0.00353493	0.00285209
0.026	0.0105389	0.0122345	0.0102506	0.0103233	0.00864793	0.00371286	0.0118961	0.00945588	0.00854709	0.00900552	0.00867492	0.00870306	0.00642604	0.00641172	0.00568593	0.0050798	0.00697416	0.00901213	0.00607718	0.00533128	0.00272977	0.00226511	0.00352147	0.00691283	0.00811796	0.00592318	0.00386926	0.00191808	0.00272401	0.00534473	0.00322889
0.029	0.0141919	0.0158371	0.0121077	0.0109455	0.0101623	0.00419753	0.0152748	0.0113111	0.0114221	0.0109734	0.0103915	0.00778488	0.00569188	0.00682889	0.00653545	0.00502317	0.00617448	0.00858231	0.00872475	0.00638633	0.00339985	0.00290797	0.00339977	0.00676565	0.0108126	0.00749014	0.00437565	0.00221869	0.00273462	0.00619331	0.00356686
0.032	0.0140698	0.0161157	0.0136586	0.0134399	0.0118033	0.00469345	0.0216262	0.012088	0.0131044	0.0126576	0.0126765	0.0103277	0.00879814	0.00804285	0.00866965	0.00577304	0.00749219	0.00995902	0.0093924	0.0075029	0.00328034	0.00258678	0.00310282	0.00938542	0.00942396	0.0102113	0.00629524	0.00269333	0.00317686	0.00809301	0.00473131
0.035	0.0173754	0.0211264	0.0180106	0.0169716	0.0126262	0.00517276	0.0209015	0.014838	0.0136278	0.0141584	0.0158439	0.011827	0.00712692	0.00932356	0.00976796	0.00713714	0.00804286	0.0114845	0.00923244	0.00842963	0.00475106	0.00248645	0.00326069	0.0106519	0.0125385	0.0111432	0.00651762	0.00299463	0.00336911	0.00865381	0.00559698
0.038	0.0209622	0.024737	0.0190119	0.0184271	0.0167123	0.00536433	0.0228825	0.0168858	0.0134546	0.0179149	0.0189265	0.0142474	0.0116659	0.0113053	0.0103272	0.00858325	0.0110718	0.013397	0.013681	0.0113228	0.00428656	0.00361701	0.0044229	0.0128435	0.0139025	0.0129829	0.00805052	0.00239892	0.0037425	0.0101872	0.00505887
0.041	0.0227413	0.0243895	0.0239005	0.0197038	0.0191526	0.00647886	0.0263674	0.0206032	0.0182243	0.0205273	0.0200065	0.0164506	0.0110169	0.0108143	0.0101516	0.00884666	0.0112372	0.0155401	0.0121769	0.011085	0.00484206	0.00380596	0.00463731	0.0142667	0.0165909	0.0126493	0.00791142	0.0025908	0.0044317	0.0128936	0.00660162
0.044	0.0232026	0.0314293	0.0245028	0.0209676	0.0186358	0.00766725	0.0276905	0.019763	0.0185513	0.0202609	0.020776	0.0193622	0.0127328	0.01328	0.0129035	0.0109039	0.0110605	0.0176176	0.0146621	0.0125773	0.00679761	0.0029327	0.00450103	0.0161411	0.0177496	0.0161422	0.0074374	0.00237108	0.00429015	0.0139853	0.00727851
0.047	0.0280748	0.0309693	0.0275683	0.0221251	0.0216312	0.00760373	0.0309651	0.0248034	0.0253702	0.0228502	0.0245696	0.0221153	0.0144306	0.0129262	0.014775	0.0110839	0.0121778	0.0203229	0.016414	0.0121221	0.00555231	0.0035742	0.00541391	0.0171734	0.019501	0.0142361	0.00890297	0.00262089	0.00490742	0.0155563	0.0073882
