Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	0.266394	0.186356	0.161181	0.146817	0.13487	0.123614	0.10315	0.0864562	0.111742	0.112059	0.105322	0.101493	0.0752947	0.0575504	0.0362167	0.0542444	0.159682	0.0771866	0.0377555	0.102889	0.097689	0.0910585	0.0730275	0.0534921	0.047753	0.0409635	0.0352064	0.0388422	0.0326645	0.0330729	0.0278833	0.0262136	0.0212743	0.0193005	0.0142575	0.0227966	0.0208495	0.014926	0.012541	0.00414323	0.0306939	0.021096	0.0169227	0.0152618	0.0159636	0.0143764	0.0143083	0.0123428	0.0102682	0.0126831	0.0100705	0.0102845	0.0104204	0.0083291	0.00800063	0.00995794	0.00611521
0.023	0.317457	0.224739	0.206359	0.194824	0.175633	0.159165	0.132161	0.112039	0.139177	0.14252	0.136809	0.136699	0.103186	0.0708445	0.0500044	0.0702556	0.200967	0.103911	0.0455306	0.136216	0.120708	0.121336	0.0981087	0.0708602	0.0580486	0.0525424	0.0491517	0.0471028	0.0463543	0.0413835	0.038251	0.036263	0.0302241	0.0319369	0.0201701	0.0321743	0.026131	0.0205424	0.0164346	0.00459218	0.0428223	0.026687	0.0226069	0.0196519	0.020053	0.0176548	0.0183388	0.0170167	0.0135091	0.0127881	0.0127726	0.0113866	0.0127813	0.0104389	0.00896858	0.00991555	0.00702034
0.026	0.353117	0.273233	0.256275	0.229348	0.203404	0.190786	0.161888	0.143855	0.174611	0.173659	0.168344	0.1712	0.126264	0.0878355	0.0660551	0.0896529	0.244395	0.13227	0.0564227	0.159814	0.143043	0.146325	0.122105	0.087802	0.0719681	0.0687864	0.0601138	0.0607638	0.0557278	0.0524797	0.0462553	0.0454708	0.0394372	0.0368941	0.0255267	0.0408856	0.0307195	0.0279139	0.022742	0.00662178	0.0508584	0.032357	0.0275996	0.0261299	0.0245893	0.0252703	0.0233285	0.0204404	0.0184888	0.0176004	0.0176882	0.0154187	0.0153522	0.0137468	0.0113493	0.0128945	0.00896627
0.029	0.399798	0.310513	0.290152	0.266186	0.244838	0.222147	0.184189	0.170248	0.210913	0.207015	0.201103	0.200283	0.15095	0.107773	0.0804384	0.112121	0.289816	0.158127	0.0753041	0.184342	0.173635	0.172421	0.142677	0.105041	0.0904746	0.0811232	0.0762363	0.0718507	0.0690422	0.0604988	0.0566912	0.054039	0.0475209	0.042168	0.0272429	0.0483224	0.0358941	0.032558	0.0281202	0.0064884	0.0597942	0.0415195	0.037558	0.033565	0.0289934	0.0278158	0.0252344	0.0240639	0.0212532	0.0207871	0.021507	0.0176767	0.0190882	0.0184548	0.0163158	0.0141615	0.0108468
0.032	0.432616	0.346818	0.324527	0.298211	0.273892	0.254616	0.216606	0.196109	0.236294	0.241196	0.227385	0.223918	0.174644	0.135721	0.0976191	0.138671	0.323057	0.183693	0.0866645	0.208661	0.200683	0.197362	0.169495	0.120083	0.100548	0.0991563	0.0891047	0.0869384	0.0814923	0.0736517	0.068707	0.0585958	0.0560265	0.0521709	0.0335488	0.0564197	0.0431275	0.0403148	0.0309656	0.00755106	0.0758567	0.049624	0.0432404	0.0385871	0.0335788	0.0320379	0.0297552	0.0259709	0.026875	0.0233172	0.0257432	0.022611	0.0221915	0.0214201	0.0178133	0.0151716	0.0125495
0.035	0.468126	0.388942	0.372787	0.333993	0.311949	0.290366	0.241559	0.223906	0.274939	0.269231	0.262563	0.254908	0.197239	0.149048	0.118864	0.165307	0.361269	0.222312	0.103777	0.229797	0.21805	0.221986	0.19262	0.136671	0.119228	0.10946	0.10147	0.0929689	0.0943496	0.0819438	0.0779664	0.0741734	0.06109	0.0572838	0.0412167	0.0659726	0.0495614	0.044705	0.0362937	0.00790092	0.0853862	0.052529	0.0477981	0.0424607	0.0419695	0.041811	0.0387543	0.032354	0.0284304	0.0275811	0.0261285	0.0250179	0.0238753	0.022557	0.0237677	0.0234907	0.0158131
0.038	0.496953	0.423358	0.403672	0.366124	0.338583	0.308775	0.273885	0.249872	0.303335	0.301529	0.284581	0.277615	0.223429	0.170794	0.142277	0.187044	0.389635	0.253704	0.118044	0.253582	0.246365	0.239975	0.213105	0.159222	0.143134	0.130717	0.116703	0.115979	0.104351	0.0962746	0.0867452	0.0803688	0.0776852	0.0675633	0.0487569	0.0765402	0.0586184	0.0544133	0.0414569	0.00851213	0.0929361	0.0666912	0.0562021	0.0540265	0.047986	0.0429373	0.0407207	0.0378355	0.0355147	0.0320977	0.0332254	0.0287886	0.0272133	0.0278234	0.0256501	0.0208128	0.0189429
0.041	0.529608	0.457179	0.425001	0.396542	0.367502	0.341287	0.299964	0.279278	0.330254	0.328748	0.319111	0.303544	0.248035	0.194269	0.158117	0.214636	0.436674	0.274881	0.136296	0.284172	0.270228	0.270123	0.23105	0.176976	0.149108	0.141863	0.131189	0.119593	0.12366	0.113227	0.105447	0.0913327	0.0856512	0.0736461	0.0553893	0.0849537	0.0664432	0.0632224	0.0462007	0.0121232	0.104252	0.0699136	0.0620201	0.0561238	0.0535346	0.0505079	0.0470529	0.0443266	0.0384714	0.036256	0.0335391	0.0345955	0.0324187	0.0309438	0.0264579	0.0276422	0.0191546
0.044	0.549294	0.484913	0.457288	0.422442	0.399458	0.365793	0.327559	0.302884	0.36766	0.360671	0.343561	0.325851	0.271451	0.227281	0.180732	0.244219	0.460493	0.203783	0.157521	0.300041	0.290727	0.300614	0.253354	0.202529	0.166723	0.153991	0.146148	0.143442	0.135106	0.1208	0.115563	0.107948	0.100731	0.0893167	0.0623302	0.0960569	0.0775039	0.0692866	0.0529025	0.0125279	0.115887	0.0784173	0.0677523	0.0640384	0.0610147	0.0555433	0.0506591	0.0489399	0.0440694	0.0424171	0.0401696	0.0358892	0.0375017	0.0317472	0.0286398	0.0294058	0.0224249
0.047	0.573516	0.519554	0.488009	0.448052	0.419524	0.396202	0.361848	0.326373	0.388254	0.380813	0.36712	0.350849	0.295816	0.241938	0.196625	0.273955	0.091152	0.161575	0.178265	0.318723	0.315787	0.324397	0.283005	0.218596	0.186338	0.173139	0.163749	0.156774	0.146285	0.137748	0.124378	0.119108	0.108166	0.0933314	0.0653962	0.104759	0.0849567	0.073994	0.053863	0.0139564	0.12905	0.0855704	0.0823395	0.0722335	0.0636388	0.0606095	0.0583337	0.0530852	0.0496834	0.0444452	0.0435263	0.0429832	0.0386185	0.0352436	0.035552	0.0349263	0.0232814
0.05	0.591793	0.540043	0.510935	0.478252	0.460278	0.421425	0.374541	0.343662	0.422784	0.412665	0.390507	0.371613	0.319484	0.27451	0.217944	0.295079	0.0819128	0.141439	0.187279	0.333488	0.334979	0.335576	0.299642	0.23653	0.201057	0.18742	0.175971	0.172279	0.164732	0.145805	0.142809	0.125083	0.11036	0.101569	0.0692493	0.12231	0.0932835	0.0831908	0.0675997	0.016935	0.144017	0.101398	0.0903586	0.079831	0.0777524	0.0670137	0.0645633	0.0574163	0.0569085	0.0506952	0.0515485	0.0448045	0.0418849	0.0410374	0.0397561	0.0352552	0.0276594
