Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	0.261816	0.314918	0.269997	0.229591	0.207708	0.113944	0.299901	0.221759	0.249679	0.214417	0.191805	0.203427	0.153452	0.146244	0.141933	0.180245	0.132462	0.172122	0.183763	0.118877	0.0621555	0.0759223	0.100829	0.182815	0.215252	0.224441	0.136145	0.0857338	0.0861411	0.177177	0.0889111
0.023	0.328389	0.386955	0.249247	0.347304	0.312989	0.117839	0.324335	0.294582	0.248888	0.284284	0.297445	0.263281	0.160985	0.182473	0.21099	0.178174	0.220107	0.247481	0.199906	0.177218	0.0885793	0.0796128	0.103921	0.229099	0.239757	0.205861	0.140738	0.0940255	0.0907572	0.136828	0.106676
0.026	0.404115	0.47306	0.394948	0.398767	0.328131	0.144649	0.467585	0.371482	0.325013	0.340898	0.339788	0.327127	0.241173	0.238927	0.212986	0.194219	0.256601	0.346207	0.22963	0.20993	0.104063	0.088133	0.135138	0.261853	0.315388	0.224438	0.144478	0.0748021	0.103441	0.199265	0.122549
0.029	0.53904	0.613229	0.475374	0.427648	0.391489	0.162782	0.611096	0.454992	0.445993	0.417222	0.394454	0.297015	0.219339	0.262996	0.239635	0.195697	0.234167	0.330562	0.333248	0.250086	0.12681	0.111878	0.129892	0.262756	0.412739	0.280257	0.166985	0.0851497	0.101705	0.236861	0.130046
0.032	0.557513	0.626549	0.532699	0.534677	0.462159	0.183341	0.830553	0.478844	0.507009	0.479788	0.485595	0.392672	0.335794	0.310032	0.325329	0.217851	0.28414	0.386207	0.361441	0.292717	0.124193	0.0996669	0.119388	0.357369	0.368314	0.38793	0.242883	0.103983	0.118398	0.300612	0.179128
0.035	0.663976	0.822369	0.713098	0.68024	0.510886	0.204052	0.807358	0.588929	0.518323	0.541043	0.626677	0.445158	0.269761	0.345879	0.367617	0.274008	0.308155	0.437686	0.346762	0.324728	0.179926	0.0970646	0.126215	0.398037	0.498288	0.423941	0.247054	0.112261	0.125926	0.328497	0.209799
0.038	0.819717	0.967237	0.768173	0.740541	0.639994	0.212441	0.872602	0.657618	0.517082	0.681207	0.738995	0.557345	0.443203	0.411013	0.397097	0.329748	0.414833	0.515293	0.511612	0.450986	0.161777	0.14061	0.16411	0.488865	0.533836	0.499596	0.296388	0.0912485	0.14045	0.383557	0.198311
0.041	0.885857	0.967046	0.958989	0.807328	0.736699	0.246198	1.03427	0.816478	0.723198	0.817149	0.791934	0.629244	0.410912	0.41725	0.391904	0.344264	0.427647	0.614695	0.459548	0.42171	0.185198	0.148982	0.176335	0.543361	0.641529	0.486661	0.301467	0.0977472	0.165288	0.492427	0.258112
0.044	0.903443	1.23962	0.974267	0.849408	0.736267	0.302774	1.08515	0.778297	0.712911	0.810637	0.823248	0.746186	0.479682	0.489075	0.484989	0.420905	0.427255	0.69012	0.547616	0.481554	0.264222	0.11182	0.176552	0.61297	0.692806	0.611682	0.274242	0.0923051	0.160945	0.533997	0.276629
0.047	1.1256	1.18912	1.06523	0.882678	0.850358	0.291141	1.24946	0.999003	0.978267	0.91139	0.964091	0.854068	0.544579	0.491215	0.562346	0.421746	0.4662	0.78273	0.633238	0.467301	0.213506	0.138731	0.212486	0.656473	0.753797	0.535145	0.338138	0.0976542	0.183186	0.612745	0.27903
0.05	1.19984	1.37631	1.19907	1.10156	0.966552	0.320383	1.26866	1.08724	0.917297	1.11392	1.10732	0.787756	0.577556	0.552055	0.540696	0.539719	0.552596	0.945761	0.650381	0.569347	0.223995	0.187223	0.201609	0.691612	0.865379	0.619963	0.431557	0.131892	0.230978	0.678801	0.310208
0.053	1.49158	1.42657	1.50635	1.23963	1.12779	0.393555	1.61724	1.24816	1.08128	1.06322	1.1533	0.947754	0.611155	0.606096	0.575278	0.466669	0.550466	0.934943	0.68078	0.588829	0.303049	0.157314	0.219119	0.736589	1.03344	0.689039	0.408769	0.125086	0.265575	0.730249	0.313835
0.056	1.27126	1.67897	1.48197	1.23855	1.04303	0.405079	1.71362	1.32833	1.11642	1.22476	1.25325	1.01422	0.588045	0.65417	0.637418	0.587483	0.64508	0.99242	0.692564	0.682053	0.234297	0.151523	0.223919	0.872553	1.02283	0.874846	0.408081	0.145139	0.282866	0.805456	0.354931
0.059	1.66875	1.85834	1.79213	1.44084	1.11984	0.406967	1.89212	1.32057	1.17629	1.42053	1.39826	1.12808	0.717433	0.624755	0.708783	0.559402	0.650834	1.04076	0.754635	0.712712	0.333385	0.160122	0.213978	1.02946	1.13498	0.973167	0.469494	0.154206	0.237852	0.942357	0.383296
0.062	1.57539	1.9764	1.62173	1.41731	1.2475	0.471048	2.02416	1.44359	1.36298	1.48386	1.49649	1.23305	0.672625	0.791582	0.856176	0.621822	0.720088	1.18762	0.940066	0.747839	0.380101	0.187242	0.216312	1.07301	1.22274	0.964559	0.572122	0.149706	0.424302	1.12186	0.356457
0.065	1.78234	2.20452	1.77785	1.68723	1.44091	0.48366	2.14038	1.71848	1.46571	1.65387	1.50946	1.22192	0.734596	0.794048	0.947616	0.735205	0.880168	1.25688	1.03845	0.837572	0.356864	0.181828	0.237292	1.04784	1.34206	1.09464	0.557375	0.15705	0.459276	1.19102	0.417146
0.068	2.01685	2.3077	2.07982	1.84978	1.49736	0.560457	2.3141	1.90864	1.63378	1.58681	1.84356	1.42263	0.762845	0.89206	0.873737	0.729493	0.766472	1.48786	1.03303	0.934842	0.339029	0.24079	0.263249	1.19812	1.38615	1.15177	0.578973	0.224703	0.409196	1.2975	0.519909
0.071	2.00421	2.49591	2.23061	2.06564	1.55151	0.538893	2.46864	1.98733	1.77698	1.75474	1.86635	1.45142	0.943181	0.872465	1.01296	0.852443	0.983571	1.47156	1.16268	0.994895	0.404019	0.236649	0.295831	1.34931	1.41108	1.20269	0.696647	0.197055	0.52185	1.37323	0.600032
0.074	2.15586	2.74037	2.23759	2.13728	1.84584	0.578653	2.81652	1.92165	1.71598	1.93651	1.90593	1.60936	0.805597	0.969542	0.953741	0.888471	0.928801	1.50138	1.144	0.938367	0.452116	0.205665	0.352952	1.41525	1.71095	1.33341	0.761938	0.232012	0.520906	1.44729	0.55327
0.077	2.27938	2.88024	2.4416	2.19398	1.7924	0.599413	2.91015	2.2352	2.01773	2.07567	2.11509	1.707	0.996824	0.988998	1.12012	0.876943	0.974985	1.64712	1.35569	1.09867	0.500975	0.253648	0.360996	1.41085	1.84574	1.53815	0.750237	0.203659	0.537004	1.62205	0.618669
0.08	2.41475	3.11996	2.52718	2.39824	1.94409	0.663204	3.08475	2.4174	2.11091	2.31346	2.30361	1.80583	0.99899	1.15189	1.18446	0.918709	1.14476	1.93682	1.53714	1.10245	0.483123	0.196083	0.355573	1.5988	2.07085	1.62517	0.776381	0.237548	0.643888	1.91791	0.659683
0.083	2.60127	3.3233	2.8697	2.30461	2.09201	0.77944	3.22509	2.56797	2.15997	2.34169	2.27707	1.87817	1.12268	1.17132	1.34809	1.00581	1.19785	1.88846	1.59752	1.1501	0.575712	0.251076	0.409649	1.80042	2.07562	1.51782	0.83192	0.26853	0.75368	2.09529	0.70949
0.086	2.83387	3.35751	3.1457	2.6212	2.24773	0.72069	3.47777	2.52606	2.29912	2.48622	2.7163	2.02898	1.18313	1.19806	1.36789	1.07196	1.11356	1.92506	1.5695	1.16331	0.514845	0.296394	0.390852	1.84403	2.18512	1.66291	0.888843	0.280209	0.833628	2.20776	0.855657
0.089	2.99326	3.53247	2.97564	2.76916	2.43491	0.776467	3.69617	2.80086	2.62088	2.7436	2.68581	2.25776	1.36152	1.40331	1.3817	1.09858	1.26508	2.10821	1.45135	1.30603	0.640439	0.235681	0.39382	1.99495	2.28604	1.92832	0.968112	0.36331	0.875842	2.43631	0.955367
