Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	14.1563	8.84632	7.7269	6.62127	5.98798	5.24876	4.52922	3.76322	4.80151	4.86222	4.57637	4.44007	3.18785	2.38376	1.47618	2.08346	7.19813	3.23292	1.48592	4.36492	4.09318	3.87209	3.05137	2.13519	1.87553	1.61445	1.36974	1.55571	1.25311	1.26958	1.08001	1.01281	0.859638	0.739098	0.550849	0.896399	0.810501	0.580165	0.489466	0.155396	1.22283	0.832228	0.678177	0.585077	0.634671	0.561081	0.550504	0.491091	0.418652	0.483725	0.396459	0.402213	0.409021	0.338377	0.308692	0.38241	0.243001
0.023	18.0274	11.6904	10.3762	9.18706	8.28553	7.20721	5.90349	5.11695	6.35164	6.40915	6.11068	5.9593	4.49063	2.93271	2.01285	2.81592	9.9024	4.37386	1.83462	6.05185	5.29615	5.23184	4.21424	2.91056	2.32493	2.13369	1.92633	1.88158	1.78209	1.62322	1.49342	1.42797	1.16738	1.23988	0.764978	1.23976	1.05287	0.773182	0.611301	0.172794	1.69327	1.0992	0.908803	0.797042	0.788057	0.694826	0.72291	0.683958	0.550337	0.517665	0.520629	0.434921	0.494524	0.42459	0.358411	0.377771	0.271889
0.026	21.9498	15.0398	13.3356	11.7531	10.0743	9.1054	7.50412	6.55749	8.204	8.17683	7.68797	7.75898	5.72992	3.7463	2.73765	3.74899	12.7026	5.76132	2.35718	7.22442	6.51964	6.72951	5.46898	3.59274	2.93202	2.83261	2.45282	2.42993	2.20213	2.0497	1.8117	1.7746	1.54468	1.42605	0.979113	1.63264	1.26324	1.07921	0.880785	0.254038	2.06963	1.27207	1.10054	1.02489	0.977424	0.988392	0.914426	0.818658	0.741038	0.721442	0.687774	0.607899	0.593338	0.541767	0.456096	0.496586	0.350759
0.029	26.3937	17.5257	16.4441	14.2646	12.7457	11.0004	8.90038	8.07443	10.0647	10.3257	9.66393	9.73104	7.03513	4.66281	3.33918	4.75332	15.384	7.09236	3.08686	8.84315	8.29778	7.99714	6.44606	4.40077	3.69394	3.28715	3.15738	2.95936	2.67205	2.41612	2.25798	2.11263	1.90338	1.64591	1.05132	1.94408	1.47898	1.28245	1.11179	0.245283	2.45628	1.68691	1.54757	1.32792	1.19715	1.10579	0.995701	0.987812	0.865261	0.847685	0.865577	0.686028	0.747421	0.719851	0.652143	0.555818	0.418385
0.032	29.9505	21.5017	19.0802	17.0802	15.0086	13.108	11.02	9.67231	12.112	12.1266	11.3906	11.3551	8.37804	5.88484	4.22777	6.07522	18.6693	8.44455	3.66119	10.0099	9.83294	9.43292	7.91601	5.18047	4.30819	4.00561	3.64613	3.5544	3.24939	2.95069	2.75732	2.3364	2.21906	2.07512	1.33628	2.31632	1.72624	1.5975	1.21987	0.290226	3.11548	2.02915	1.74778	1.57193	1.36625	1.29329	1.18825	1.04488	1.06701	0.9342	1.02641	0.864638	0.866417	0.841309	0.722565	0.597929	0.514004
0.035	34.8709	25.2581	23.2875	19.8331	17.7189	15.4453	12.653	11.257	14.4714	14.1109	13.2926	13.067	9.67921	6.71762	5.21751	7.32829	22.303	10.7538	4.39864	11.4025	11.2868	11.1219	9.33908	5.91209	5.12701	4.63204	4.31403	3.81905	3.86251	3.39176	3.12706	2.94749	2.50243	2.33879	1.63449	2.73167	2.0437	1.78222	1.43162	0.298101	3.51459	2.17755	1.96089	1.72161	1.65405	1.65807	1.56215	1.27215	1.13642	1.08192	1.03363	0.987629	0.962071	0.894836	0.96316	0.91967	0.624194
0.038	39.2032	28.8149	26.0332	22.7988	20.0061	17.5911	14.8805	12.8903	16.9464	16.5829	15.2689	14.6624	11.5384	7.90729	6.28385	8.63785	25.4782	12.6648	5.14981	13.1361	12.6017	12.2054	10.6015	7.15211	6.24182	5.65028	5.07664	4.91017	4.36287	3.97269	3.51911	3.29631	3.15006	2.74626	1.94553	3.19743	2.4291	2.17525	1.6253	0.326078	3.9914	2.71712	2.32513	2.19252	1.94817	1.77172	1.6561	1.54699	1.4667	1.30827	1.37066	1.12982	1.0698	1.13823	1.03965	0.826806	0.750366
0.041	43.6827	33.134	28.7522	26.2661	22.7798	19.4568	16.657	15.0732	19.0412	18.5325	17.8456	16.8754	12.7826	9.32512	7.15969	10.5871	29.6997	14.3734	6.27996	14.93	14.3062	14.2744	11.7768	8.11713	6.68025	6.33674	5.82883	5.20377	5.19396	4.69319	4.25216	3.79176	3.57563	3.06145	2.20336	3.5345	2.78923	2.55168	1.84684	0.461372	4.5958	2.91403	2.64021	2.27803	2.24523	2.03574	1.88468	1.84224	1.57326	1.45626	1.34126	1.38559	1.29479	1.26504	1.07835	1.11144	0.756993
0.044	47.9723	37.2949	33.0361	29.2137	25.4465	22.306	18.9084	16.7115	22.25	21.2733	20.0994	18.7144	14.545	11.1417	8.3083	12.4572	33.2522	16.535	7.1989	16.5136	15.9578	16.6856	13.2399	9.40265	7.5342	7.07435	6.54744	6.15255	5.79034	5.25629	4.9669	4.39432	4.19438	3.76565	2.49899	3.98949	3.30333	2.77573	2.13464	0.481076	5.12944	3.34476	2.8399	2.63514	2.52334	2.28945	2.01175	1.97917	1.78322	1.73558	1.61903	1.43219	1.49027	1.29679	1.15169	1.1607	0.884457
0.047	53.3027	42.0004	37.2898	32.7302	28.1837	25.6807	21.6102	19.0199	24.7128	24.0324	22.6018	20.9781	16.4945	12.375	9.63157	14.5462	34.672	18.807	8.30125	17.701	17.9398	18.4108	14.7624	10.3557	8.81126	8.06252	7.63845	6.93696	6.49893	6.09278	5.29605	5.0529	4.56107	3.9415	2.62063	4.55743	3.59256	3.01795	2.15127	0.541913	5.86477	3.70575	3.48932	3.08192	2.60603	2.51115	2.36451	2.17982	2.02979	1.83753	1.76691	1.73591	1.5535	1.42791	1.44398	1.38991	0.91104
