Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	38.7695	38.3828	38.5814	38.4552	38.1274	37.7916	39.5073	39.2295	38.8804	38.1403	37.8875	38.2052	38.1201	36.3036	38.8139	38.8484	37.1678	38.286	37.1886	37.7885	38.6104	38.2435	39.0344	38.3694	37.7681	37.9352	37.4303	37.6486	37.2801	37.9065	38.3967
0.023	39.0312	38.0317	37.8194	39.7702	38.3256	38.9928	39.1451	38.4545	38.7662	38.4022	37.7787	38.7825	37.6781	38.2359	38.379	38.5997	38.7255	38.544	37.5475	38.5236	38.4346	38.4192	37.9782	37.4884	38.7338	37.92	37.8103	36.9885	38.963	38.7074	37.4025
0.026	38.345	38.666	38.5292	38.6279	37.9433	38.959	39.3057	39.2858	38.0262	37.8544	39.169	37.5876	37.5307	37.2641	37.4585	38.2337	36.7931	38.4156	37.7857	39.3771	38.1213	38.9089	38.3753	37.8792	38.8507	37.8915	37.3399	38.9985	37.9738	37.2826	37.9538
0.029	37.9823	38.721	39.2621	39.0705	38.5237	38.7804	40.0068	40.2251	39.0466	38.0213	37.9594	38.1528	38.5355	38.5122	36.667	38.9589	37.9249	38.5167	38.1958	39.1596	37.2986	38.473	38.206	38.8367	38.1721	37.4168	38.1624	38.3784	37.1918	38.2447	36.4595
0.032	39.6248	38.8782	39.0011	39.7828	39.1551	39.0633	38.4049	39.613	38.69	37.9051	38.3066	38.0211	38.1665	38.5475	37.525	37.736	37.9249	38.7797	38.4823	39.0138	37.8598	38.5294	38.4774	38.077	39.0827	37.9902	38.5819	38.6077	37.2688	37.1447	37.8602
0.035	38.2135	38.9262	39.5932	40.081	40.4624	39.4474	38.6269	39.6905	38.0342	38.2135	39.5531	37.6393	37.8509	37.0973	37.635	38.3919	38.3141	38.1109	37.5591	38.5223	37.8707	39.0375	38.7082	37.3678	39.7406	38.0449	37.9056	37.4876	37.3767	37.9599	37.4843
0.038	39.1046	39.1009	40.4048	40.1875	38.2949	39.6026	38.134	38.9452	38.4316	38.0246	39.0455	39.1192	37.9914	36.3557	38.4516	38.4176	37.4676	38.4633	37.3957	39.8298	37.7405	38.8747	37.1047	38.0633	38.3985	38.4811	36.816	38.0373	37.5285	37.6509	39.2006
0.041	38.9537	39.6501	40.1242	40.9733	38.4648	38.0002	39.2254	39.6288	39.6831	39.808	39.5837	38.2505	37.2982	38.5833	38.6051	38.9146	38.0564	39.5555	37.7394	38.0432	38.2477	39.1443	38.0252	38.0859	38.6675	38.4732	38.1053	37.7286	37.2968	38.1917	39.0982
0.044	38.9371	39.4415	39.7614	40.5105	39.5082	39.4893	39.1884	39.3815	38.4292	40.01	39.6249	38.5383	37.6729	36.828	37.5858	38.6011	38.6287	39.1721	37.3491	38.2875	38.8699	38.1287	39.2249	37.9758	39.0321	37.8934	36.8734	38.9296	37.5151	38.1828	38.0062
0.047	40.0928	38.3966	38.6397	39.8949	39.3116	38.2893	40.3506	40.2769	38.5596	39.8855	39.2392	38.6189	37.7377	38.0014	38.0607	38.0503	38.2827	38.5147	38.5791	38.5497	38.4535	38.8145	39.2481	38.2262	38.6542	37.5907	37.9804	37.26	37.3284	39.3889	37.767
