Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	53.1404	47.47	47.9392	45.0988	44.3981	42.4608	43.9093	43.5274	42.9696	43.3898	43.4512	43.7476	42.3384	41.4204	40.7596	38.4088	45.078	41.8845	39.3563	42.4236	41.9001	42.5231	41.7838	39.916	39.2757	39.4118	38.9059	40.0521	38.3628	38.3874	38.7331	38.6368	40.4073	38.2942	38.6356	39.3216	38.8738	38.8695	39.0292	37.506	39.8396	39.4495	40.075	38.336	39.7574	39.028	38.4744	39.7877	40.7718	38.1392	39.3686	39.1085	39.2519	40.6259	38.5834	38.4025	39.7371
0.023	56.7868	52.0176	50.2822	47.1557	47.1751	45.2814	44.6689	45.6711	45.6371	44.9702	44.6656	43.5942	43.5196	41.3964	40.2534	40.081	49.2739	42.0925	40.2942	44.4285	43.8757	43.1186	42.9548	41.0747	40.0514	40.6089	39.1914	39.9462	38.445	39.224	39.0427	39.3783	38.6241	38.8227	37.9263	38.5325	40.2918	37.6383	37.1959	37.6279	39.5419	41.1886	40.2002	40.558	39.2987	39.3562	39.4196	40.1935	40.7383	40.4801	40.7615	38.196	38.6911	40.6738	39.9629	38.0988	38.7287
0.026	62.1601	55.0441	52.0362	51.2458	49.5285	47.7258	46.3538	45.5839	46.9845	47.0855	45.6683	45.3212	45.3805	42.6513	41.4449	41.8168	51.9755	43.5573	41.7772	45.2052	45.5782	45.9901	44.7893	40.9187	40.7405	41.1797	40.8029	39.9899	39.5159	39.0571	39.1674	39.0272	39.1682	38.6526	38.3565	39.9318	41.1218	38.6622	38.7295	38.3641	40.6941	39.3137	39.8752	39.2229	39.7499	39.1128	39.1979	40.0509	40.0803	40.9901	38.8833	39.426	38.6483	39.4103	40.1872	38.5113	39.1199
0.029	66.0176	56.4412	56.6742	53.5886	52.0576	49.5188	48.3221	47.4275	47.7199	49.8791	48.0548	48.5865	46.6056	43.2651	41.5123	42.3944	53.0819	44.8523	40.992	47.9714	47.7887	46.3814	45.1793	41.8957	40.8285	40.5204	41.4157	41.1876	38.7016	39.9367	39.8295	39.0944	40.0536	39.0323	38.5904	40.2315	41.2039	39.3896	39.537	37.8033	41.0789	40.6293	41.2048	39.5627	41.2904	39.7538	39.458	41.0496	40.712	40.7794	40.2463	38.8098	39.1561	39.0062	39.9701	39.2485	38.5722
0.032	69.2312	61.9971	58.7938	57.2755	54.7975	51.4815	50.8759	49.3212	51.2581	50.277	50.0938	50.7107	47.972	43.3597	43.3088	43.8102	57.7894	45.9711	42.2456	47.9718	48.9975	47.7951	46.7036	43.1408	42.8471	40.397	40.9196	40.8841	39.8736	40.0627	40.1316	39.8732	39.6073	39.7755	39.831	41.0551	40.0264	39.6256	39.3942	38.4351	41.0706	40.8905	40.42	40.7372	40.6879	40.3675	39.9344	40.2329	39.7025	40.0649	39.8711	38.2397	39.0427	39.2766	40.5632	39.4111	40.958
0.035	74.4904	64.9404	62.4687	59.3819	56.8008	53.1924	52.3807	50.2756	52.6349	52.4118	50.6264	51.2617	49.0736	45.0702	43.8948	44.3313	61.7351	48.3724	42.3855	49.6199	51.7624	50.1018	48.4844	43.2578	43.0017	42.317	42.5154	41.0788	40.9383	41.3912	40.1078	39.7378	40.963	40.828	39.6561	41.406	41.2356	39.8663	39.4455	37.73	41.1611	41.4543	41.0244	40.5459	39.4107	39.6563	40.309	39.3196	39.9722	39.2268	39.5597	39.4769	40.2957	39.67	40.5239	39.1504	39.4732
0.038	78.8872	68.0627	64.491	62.2706	59.0876	56.9706	54.3313	51.5879	55.8669	54.9962	53.654	52.8155	51.6426	46.2973	44.1664	46.1808	65.3899	49.9193	43.6262	51.802	51.1503	50.8614	49.7478	44.9191	43.6082	43.2253	43.5005	42.3366	41.8094	41.2641	40.5684	41.0148	40.5491	40.6472	39.9027	41.7744	41.4393	39.9765	39.2045	38.3075	42.9478	40.7418	41.3709	40.5822	40.5987	41.2629	40.6697	40.8872	41.2984	40.7589	41.2534	39.2454	39.3115	40.909	40.532	39.7259	39.612
0.041	82.4811	72.4749	67.6521	66.2378	61.9854	57.0102	55.5298	53.9719	57.6563	56.3731	55.923	55.5947	51.5355	48.0012	45.281	49.3259	68.0135	52.2894	46.0759	52.5386	52.9413	52.844	50.971	45.8658	44.8013	44.6679	44.4309	43.5125	42.0019	41.4494	40.3249	41.5159	41.7464	41.5698	39.7795	41.605	41.9792	40.3603	39.9743	38.057	44.0835	41.6805	42.5703	40.5894	41.9398	40.3054	40.0545	41.5606	40.8943	40.1659	39.991	40.0511	39.9396	40.8819	40.7574	40.2083	39.5201
0.044	87.3345	76.9104	72.2435	69.1543	63.7026	60.9799	57.7251	55.1745	60.5179	58.9827	58.5032	57.4324	53.5824	49.0218	45.9703	51.0084	72.21	81.1402	45.7012	55.0379	54.8894	55.505	52.2586	46.4261	45.19	45.9399	44.8002	42.8922	42.8576	43.5124	42.98	40.7077	41.6395	42.1607	40.0928	41.5326	42.6215	40.0615	40.3505	38.4004	44.2624	42.6534	41.9159	41.1493	41.3563	41.2192	39.7115	40.4408	40.464	40.9169	40.3048	39.9059	39.7388	40.8473	40.2128	39.4718	39.4409
0.047	92.9401	80.8392	76.4122	73.0502	67.1801	64.8172	59.7217	58.2766	63.6511	63.1082	61.565	59.7926	55.7593	51.1495	48.9844	53.097	380.376	116.398	46.5669	55.5373	56.8097	56.7541	52.163	47.3739	47.2865	46.5668	46.6473	44.248	44.4266	44.2313	42.5802	42.4229	42.1673	42.2312	40.0731	43.5039	42.2869	40.7864	39.9397	38.8288	45.4456	43.3065	42.3772	42.6661	40.9503	41.4316	40.5342	41.0626	40.8544	41.3437	40.594	40.3859	40.2269	40.5155	40.6161	39.7956	39.1316
0.05	98.1233	86.5533	79.9818	75.4913	70.3908	66.1066	62.9898	61.5285	65.9603	65.4097	63.7601	62.0553	56.9807	51.8337	50.1718	56.4857	471.318	149.629	48.9099	57.5352	58.3078	58.0232	54.7837	48.5273	47.0099	46.5545	45.922	44.928	44.4249	44.3951	42.9528	43.7121	43.6483	43.1655	41.0567	42.8338	42.1162	41.5652	40.1422	38.3153	45.8937	42.4579	42.2291	42.5448	42.7203	42.4046	41.2887	42.0372	40.7307	41.5362	40.0156	41.3972	40.027	40.9607	41.8733	40.6542	40.4816
