Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	0.000309356	0.000328084	0.000309859	0.000312171	0.000260475	0.000137545	0.000359562	0.000291162	0.000288974	0.000282422	0.00028853	0.000261805	0.000202991	0.000199356	0.000206295	0.000187524	0.000220502	0.000246316	0.00024371	0.000187716	0.000141754	8.39294e-005	8.16995e-005	0.000219085	0.000267883	0.000245408	0.000158578	6.00517e-005	8.25828e-005	0.000193641	0.000128315
0.023	0.000356152	0.000416533	0.000344178	0.000330933	0.000320396	0.000187774	0.000410054	0.000342526	0.000334587	0.000349704	0.000341754	0.000304664	0.000243578	0.000244759	0.000231491	0.000218335	0.000240942	0.000297192	0.000248463	0.00025066	0.000139071	8.0132e-005	0.000101984	0.000262935	0.00030367	0.000271427	0.000189194	6.39279e-005	8.92947e-005	0.000237658	0.000153319
0.026	0.000431342	0.000431011	0.000399012	0.000397624	0.00035553	0.000199525	0.00045041	0.000384334	0.000370526	0.000376242	0.000386373	0.00034314	0.000292679	0.000274236	0.000278207	0.000279098	0.000268905	0.000343736	0.000298161	0.000271409	0.000154956	0.000121723	0.000129393	0.000288696	0.000330202	0.000304166	0.000214719	8.99533e-005	9.71611e-005	0.000287078	0.000169114
0.029	0.000445696	0.000509279	0.000456962	0.000440364	0.000403801	0.000204846	0.000486989	0.000431819	0.000397399	0.000412906	0.000411487	0.000387281	0.000276264	0.000315386	0.000287366	0.000281328	0.000297098	0.000372928	0.000350269	0.000306627	0.00020253	0.000139995	0.000150643	0.000323501	0.000358064	0.000338551	0.000256481	8.0951e-005	0.000114676	0.000287182	0.000177419
0.032	0.000510684	0.000539751	0.000495822	0.000478975	0.000445822	0.000244571	0.000543272	0.00045866	0.000465347	0.000465735	0.000479398	0.000421069	0.000318818	0.000319039	0.000345445	0.00031903	0.000307282	0.000413008	0.000375503	0.000321985	0.000172723	0.000154369	0.000147629	0.000373136	0.000397758	0.000391316	0.000263052	0.000101241	0.0001445	0.000317061	0.000215674
0.035	0.000544779	0.000573781	0.000530585	0.000531042	0.000488269	0.000251832	0.000573534	0.000526561	0.00048969	0.000494709	0.000513499	0.000460094	0.000342648	0.000358123	0.000374775	0.000310748	0.000349293	0.000436399	0.000384664	0.000350377	0.000203349	0.000146692	0.000190017	0.000373435	0.000463789	0.00039501	0.000263464	9.44835e-005	0.000171177	0.000342284	0.00024732
0.038	0.000589089	0.000633063	0.000575699	0.000567957	0.000518227	0.00027473	0.000632947	0.00053945	0.000536353	0.000542851	0.000538105	0.000478872	0.000376036	0.000369293	0.000394826	0.000366031	0.000351156	0.000480658	0.000408315	0.000371948	0.000236453	0.000186738	0.000188944	0.000407163	0.000486197	0.000437757	0.000308812	0.000140042	0.000191098	0.000392427	0.000254267
0.041	0.000646807	0.000668902	0.000631973	0.000590271	0.000537965	0.000313719	0.000678931	0.000621897	0.000562167	0.000587554	0.000580751	0.000499701	0.000395043	0.000401456	0.00041287	0.000354343	0.000386551	0.000519388	0.000449732	0.000422417	0.000258228	0.00017813	0.000192907	0.000453458	0.000509342	0.000477217	0.000322675	0.000105269	0.000194737	0.000427632	0.000256382
0.044	0.000640797	0.00071401	0.00067206	0.00062898	0.000573133	0.000351314	0.000730999	0.000646223	0.000583556	0.000611108	0.000617154	0.000569674	0.000430781	0.000438539	0.000446146	0.000408875	0.000412329	0.000531954	0.000450589	0.000421725	0.000251525	0.000183864	0.000225778	0.000491272	0.000564629	0.000467035	0.000352373	0.000138583	0.000223493	0.000440164	0.000298581
0.047	0.000686882	0.000759264	0.000723773	0.00066135	0.000622302	0.000356249	0.000753554	0.000678323	0.000638704	0.000641212	0.000663555	0.000610902	0.0004601	0.00045079	0.000464955	0.0004206	0.000446725	0.000582443	0.000530886	0.000466771	0.000272515	0.000203928	0.000219749	0.0005238	0.000568387	0.000517805	0.000363293	0.000137932	0.000230122	0.000498451	0.000330668
