Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	0.00260418	0.0020542	0.00191899	0.001818	0.00170568	0.00159762	0.00146328	0.00133565	0.00152847	0.00152493	0.00148047	0.00147755	0.00125362	0.000999357	0.000817619	0.000992312	0.00185709	0.00125613	0.000810767	0.00143548	0.00141416	0.00133356	0.00122162	0.00100317	0.000917006	0.00086837	0.000820714	0.000796713	0.000773835	0.000754006	0.000693073	0.00069063	0.000635739	0.000602141	0.000528128	0.000668123	0.000550036	0.000530693	0.000463025	0.000194869	0.000754743	0.000609502	0.000568503	0.000536489	0.000511284	0.000497803	0.000466449	0.000459816	0.00045157	0.000408544	0.000416331	0.000415369	0.000374345	0.000368592	0.000356107	0.000352355	0.00031731
0.023	0.00292276	0.00238411	0.00224456	0.00211697	0.00193184	0.00185481	0.001657	0.00156896	0.00176905	0.00176615	0.00170698	0.00172613	0.00147806	0.00117698	0.000970817	0.00116272	0.00217764	0.00144717	0.000926046	0.00167178	0.0016119	0.00156785	0.00142459	0.00116228	0.00104165	0.000996595	0.000966931	0.000945635	0.000882276	0.000873077	0.000832459	0.000790091	0.000744931	0.000742829	0.000572394	0.000780586	0.000683862	0.000608475	0.000511281	0.000238977	0.000906863	0.000698149	0.000615938	0.000599086	0.000602542	0.000543009	0.000547782	0.000535096	0.000501156	0.00048854	0.000468607	0.000460207	0.000443434	0.000420052	0.000393311	0.000379521	0.000343124
0.026	0.00324819	0.00267816	0.00254039	0.00237097	0.00221081	0.00206819	0.00190547	0.00175873	0.00200729	0.0019925	0.00191048	0.00195007	0.00166502	0.00133533	0.00112209	0.0013228	0.00244841	0.00165713	0.00105197	0.00184872	0.00180452	0.00175729	0.00159865	0.00130694	0.0011765	0.00112215	0.00106218	0.00104447	0.00103426	0.000978044	0.000950779	0.000895625	0.000846689	0.000785189	0.000659025	0.000882203	0.000759207	0.00070733	0.000620568	0.000289536	0.000970173	0.000781574	0.000723584	0.000691381	0.000662184	0.000648513	0.000624311	0.000600765	0.000556735	0.000539843	0.000529017	0.000530371	0.000508469	0.000481599	0.000456258	0.000470319	0.000373581
0.029	0.00353444	0.00297218	0.00278913	0.00264824	0.00245068	0.00227405	0.00207112	0.00195052	0.00219368	0.0022188	0.00211657	0.00213452	0.00182866	0.00149795	0.00127529	0.00148179	0.00271367	0.00184404	0.00117779	0.00202944	0.00198209	0.00193125	0.00173008	0.00143916	0.00130545	0.00124433	0.00118504	0.00117262	0.00112289	0.00108199	0.00103714	0.0010046	0.000943019	0.000887884	0.000711837	0.000940106	0.000844083	0.000782888	0.000673423	0.000312576	0.00107322	0.000874934	0.000818295	0.000770088	0.000723823	0.000705921	0.000684776	0.000638162	0.000619592	0.000605772	0.000608526	0.000581542	0.000556861	0.000521024	0.000522401	0.000508934	0.000411287
0.032	0.00383118	0.00324963	0.00303718	0.00283922	0.00267479	0.00247459	0.00227552	0.00212263	0.00243368	0.00239959	0.0023251	0.00232476	0.00198788	0.00163513	0.00142735	0.00170177	0.0029774	0.00205065	0.00130619	0.00219551	0.00214761	0.00212762	0.00190812	0.00158097	0.00142998	0.00137474	0.00132201	0.00128948	0.00123995	0.00118723	0.00114046	0.00109623	0.00103519	0.000951617	0.000809995	0.00102343	0.000908127	0.000850058	0.000736834	0.000333759	0.0011844	0.000958673	0.000887982	0.000817214	0.000799194	0.000793128	0.000750445	0.000718116	0.000675021	0.000661075	0.000651233	0.000634466	0.000619217	0.00058417	0.000556809	0.000541703	0.000463807
0.035	0.00406488	0.00351207	0.0032971	0.00307391	0.00286504	0.00270187	0.0024681	0.00231089	0.00264745	0.00261511	0.00251575	0.00251254	0.00215255	0.00178494	0.00156479	0.00187835	0.00324144	0.00224153	0.00143487	0.0023363	0.00227328	0.00229219	0.00207333	0.00172858	0.00153904	0.00149227	0.0014304	0.00137242	0.00135354	0.00128123	0.00122993	0.00119479	0.00112142	0.00104264	0.000855961	0.00113115	0.000998135	0.000917958	0.000819277	0.000353881	0.00130368	0.00102654	0.000969171	0.0009056	0.000872804	0.000823551	0.000813225	0.000756242	0.000738549	0.000741903	0.00071058	0.000651793	0.000654734	0.000626072	0.000628985	0.000591886	0.000512827
0.038	0.00432815	0.0037325	0.00353468	0.00331466	0.00309749	0.0028885	0.00264548	0.00249795	0.00289579	0.00281737	0.00269696	0.00267174	0.00233874	0.00197698	0.001698	0.00203139	0.00351444	0.0024521	0.00154195	0.00249546	0.00246645	0.00246059	0.0022316	0.00184156	0.00168538	0.00160657	0.00154233	0.0015078	0.00141699	0.00139063	0.00132612	0.00126915	0.00118557	0.00113478	0.00092474	0.001226	0.00109286	0.000988734	0.00086379	0.000402691	0.00137504	0.00112654	0.00101496	0.000989208	0.000954607	0.000922298	0.000881421	0.000835156	0.000805135	0.000786943	0.000756457	0.00073981	0.000709584	0.00067911	0.000640051	0.000636663	0.000535221
0.041	0.00454055	0.00399917	0.0037752	0.00354542	0.00328449	0.00306824	0.00281706	0.00268433	0.00304287	0.00300934	0.00288265	0.00283198	0.00248102	0.00210533	0.00186708	0.00223262	0.0037712	0.00263916	0.001725	0.00264951	0.00263053	0.00260556	0.00237295	0.00198226	0.0018054	0.0017209	0.00168629	0.00158961	0.00155217	0.00148645	0.00142743	0.0013468	0.00130697	0.00120834	0.000979357	0.00132195	0.00116716	0.00108115	0.000916101	0.000443056	0.00146656	0.00121718	0.00113091	0.00105142	0.00101004	0.00096712	0.000927483	0.000909237	0.000857656	0.000840374	0.000803427	0.00077989	0.000774193	0.000740759	0.000694807	0.000681558	0.000586099
0.044	0.00480306	0.00425564	0.00398436	0.00374602	0.00352581	0.00325853	0.00299648	0.00283331	0.0032688	0.00318977	0.00310728	0.00300734	0.00263808	0.00228121	0.00200301	0.00242547	0.00397182	0.002811	0.00184519	0.0027855	0.0027413	0.00277989	0.00251821	0.00210718	0.00191092	0.00183622	0.00176664	0.00171586	0.00164975	0.00156662	0.00150961	0.00144091	0.00136854	0.00128739	0.00106904	0.00139428	0.00125047	0.00112936	0.00099919	0.000440984	0.00156244	0.00127163	0.00117397	0.00112399	0.00106383	0.00103093	0.00100827	0.000957227	0.00091898	0.000888401	0.000857185	0.000812469	0.000802981	0.000781949	0.000739936	0.000731328	0.000606977
0.047	0.00501771	0.00446254	0.00419656	0.00396035	0.00372873	0.0034558	0.00318678	0.00301128	0.00347126	0.00338962	0.0032845	0.00318506	0.00280313	0.00241825	0.00213451	0.00263334	0.00407429	0.00298901	0.00197274	0.00290721	0.00289632	0.00296435	0.00268578	0.00221575	0.00203648	0.00193845	0.00187974	0.00181047	0.00172877	0.00167681	0.00159908	0.00153117	0.00144249	0.00135874	0.00111534	0.00147534	0.00128347	0.00118137	0.0010432	0.000485346	0.00165953	0.00135353	0.0012566	0.00118825	0.00111725	0.00107933	0.001065	0.00101127	0.000980828	0.000945514	0.000916229	0.00088746	0.000847494	0.000833174	0.000803366	0.000768115	0.00066601
