Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	-2.50168	-2.57118	-2.55442	-2.49821	-2.54016	-2.04512	-2.6229	-2.59735	-2.51212	-2.5495	-2.56963	-2.78417	-2.63299	-2.41771	-2.58753	-2.64772	-2.38969	-2.55023	-2.81371	-2.88128	2.61373	-1.90451	-2.0221	-1.92456	-2.46602	-2.84617	2.67738	1.37618	-0.235397	-1.40167	-1.9368
0.023	-2.50268	-2.53944	-2.57735	-2.5484	-2.54356	-2.07902	-2.60335	-2.64246	-2.48946	-2.57306	-2.62658	-2.76865	-2.72205	-2.5191	-2.64365	-2.49455	-2.22455	-2.48686	-2.77081	-2.74419	2.83552	-2.18493	-2.08477	-1.99047	-2.4642	-2.92835	2.71747	1.65552	-0.0616206	-1.35493	-2.26251
0.026	-2.46697	-2.56626	-2.5628	-2.59739	-2.56617	-2.01214	-2.57886	-2.64124	-2.48006	-2.58798	-2.52529	-2.7963	-2.80049	-2.58114	-2.51984	-2.57976	-2.4226	-2.4623	-2.81665	-2.8735	2.70784	-1.81388	-2.07508	-1.922	-2.38556	-2.9517	2.80585	1.45544	-0.389873	-1.45859	-2.10593
0.029	-2.46418	-2.59055	-2.62557	-2.57751	-2.67952	-1.95167	-2.61659	-2.60092	-2.59273	-2.56822	-2.58861	-2.77167	-2.71611	-2.59438	-2.55172	-2.50678	-2.4239	-2.46399	-2.82993	-2.83344	2.8309	-1.90659	-2.02768	-1.96387	-2.43705	-2.84378	2.71323	1.43137	-0.303454	-1.344	-2.00244
0.032	-2.53973	-2.58866	-2.59377	-2.5648	-2.58658	-2.02939	-2.5998	-2.60652	-2.57517	-2.53038	-2.68327	-2.77803	-2.72962	-2.52573	-2.63897	-2.57964	-2.32195	-2.4571	-2.78496	-2.87301	2.70946	-1.91279	-1.94106	-1.95739	-2.47734	-2.83692	2.74371	1.37769	-0.28686	-1.35745	-1.96269
0.035	-2.49709	-2.59337	-2.59696	-2.56879	-2.60157	-1.96361	-2.60505	-2.54201	-2.57595	-2.56928	-2.5955	-2.75362	-2.73468	-2.56312	-2.57346	-2.48658	-2.36949	-2.50738	-2.85912	-2.83672	2.61517	-1.81869	-1.91284	-1.92416	-2.40765	-2.86291	2.76219	1.22221	-0.225772	-1.33833	-2.08776
0.038	-2.46576	-2.58314	-2.6259	-2.57427	-2.54633	-2.03516	-2.60846	-2.61669	-2.57245	-2.55907	-2.64192	-2.75792	-2.70082	-2.51189	-2.58475	-2.4803	-2.30402	-2.53882	-2.79276	-2.82882	2.66355	-1.73404	-1.96418	-1.94617	-2.41886	-2.89532	2.71465	1.30625	-0.354244	-1.37005	-1.98407
0.041	-2.47499	-2.57137	-2.58566	-2.56338	-2.58034	-1.97581	-2.57313	-2.6032	-2.58672	-2.55458	-2.6617	-2.77227	-2.76294	-2.56725	-2.59852	-2.53531	-2.34076	-2.49377	-2.76946	-2.8513	2.75306	-1.76301	-1.90976	-1.91856	-2.46776	-2.86807	2.69174	1.37245	-0.385908	-1.2939	-1.94447
0.044	-2.46926	-2.60194	-2.59872	-2.58784	-2.55904	-1.94836	-2.60224	-2.59773	-2.56023	-2.59621	-2.59919	-2.8098	-2.69736	-2.55241	-2.59512	-2.52734	-2.34093	-2.48415	-2.79835	-2.85216	2.6228	-1.73509	-1.88262	-1.91416	-2.42857	-2.90597	2.64641	1.34231	-0.199269	-1.34806	-2.01401
0.047	-2.45134	-2.57462	-2.58723	-2.58379	-2.60126	-1.9864	-2.5637	-2.62833	-2.55949	-2.55934	-2.62975	-2.77458	-2.72322	-2.57402	-2.56723	-2.52077	-2.30475	-2.46656	-2.8182	-2.88217	2.61334	-1.75563	-1.8643	-1.90333	-2.4233	-2.89997	2.5993	1.3029	-0.28481	-1.32955	-1.92362
0.05	-2.468	-2.58413	-2.60244	-2.55824	-2.57585	-1.95796	-2.56567	-2.58575	-2.54745	-2.56477	-2.61735	-2.77697	-2.72731	-2.56984	-2.57124	-2.55333	-2.34431	-2.47549	-2.82653	-2.83956	2.58842	-1.70951	-1.83674	-1.94703	-2.44229	-2.89762	2.68739	1.13238	-0.218599	-1.29703	-1.97711
0.053	-2.48573	-2.58789	-2.61789	-2.59701	-2.58191	-1.92684	-2.57105	-2.58879	-2.58044	-2.54012	-2.61514	-2.78807	-2.71506	-2.54544	-2.57488	-2.53813	-2.30652	-2.51327	-2.77914	-2.83625	2.58309	-1.55334	-1.81517	-1.90204	-2.42443	-2.92374	2.65413	1.25642	-0.18639	-1.28507	-1.96004
0.056	-2.46754	-2.59058	-2.59641	-2.6147	-2.60135	-1.93641	-2.57457	-2.60142	-2.56673	-2.59512	-2.63871	-2.78551	-2.766	-2.53185	-2.58764	-2.54055	-2.32499	-2.51928	-2.83153	-2.81373	2.56627	-1.62526	-1.84172	-1.9166	-2.42567	-2.89359	2.66761	1.23363	-0.187863	-1.27341	-1.85128
0.059	-2.46331	-2.57869	-2.59448	-2.57015	-2.59067	-1.94072	-2.60552	-2.60117	-2.58664	-2.55414	-2.63664	-2.80904	-2.70801	-2.59219	-2.58521	-2.55734	-2.31321	-2.48045	-2.79934	-2.85397	2.52783	-1.69974	-1.81195	-1.91597	-2.44158	-2.90163	2.67227	1.1568	-0.181027	-1.24497	-1.94449
0.062	-2.49103	-2.5849	-2.61324	-2.58328	-2.61864	-1.90184	-2.56995	-2.61852	-2.56021	-2.55594	-2.62909	-2.82811	-2.70624	-2.55144	-2.59346	-2.55784	-2.29828	-2.5139	-2.83334	-2.86406	2.64434	-1.58969	-1.85526	-1.89968	-2.43017	-2.95394	2.62187	1.10613	-0.144396	-1.22616	-1.89035
0.065	-2.49406	-2.59079	-2.61546	-2.62766	-2.56457	-1.89192	-2.59216	-2.61199	-2.55956	-2.55773	-2.63553	-2.79955	-2.75479	-2.58327	-2.59581	-2.55851	-2.30594	-2.48265	-2.80766	-2.86836	2.60203	-1.71061	-1.79012	-1.88208	-2.44825	-2.94535	2.63583	1.07562	-0.169777	-1.26664	-1.85481
0.068	-2.46914	-2.60417	-2.60306	-2.60153	-2.57916	-1.88226	-2.60023	-2.60521	-2.5582	-2.55112	-2.65219	-2.80638	-2.73951	-2.54932	-2.5921	-2.54135	-2.34789	-2.46629	-2.7908	-2.8809	2.55339	-1.57507	-1.69382	-1.8676	-2.41832	-2.91434	2.6354	1.07118	-0.187763	-1.1839	-1.82049
0.071	-2.46784	-2.59483	-2.61942	-2.59322	-2.5903	-1.90257	-2.58768	-2.6	-2.56335	-2.56654	-2.66976	-2.81829	-2.73109	-2.53726	-2.57639	-2.52533	-2.30486	-2.46255	-2.85568	-2.85663	2.55475	-1.58582	-1.70959	-1.8854	-2.41852	-2.91229	2.62794	1.03455	-0.18347	-1.21451	-1.79077
