Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	-2.6255	2.48047	1.98689	0.112696	-1.01419	2.43607	2.89268	-0.991939	-2.08013	2.62701	1.49837	-2.83539	-0.908112	1.15316	2.45611	-2.23266	-0.346644	-2.54679	-2.76765	-0.551717	-0.761054	-1.51104	-1.80402	0.670405	1.97163	2.34251	1.37728	2.2999	0.0387734	-0.811381	-1.99751	0.130696	-2.80103	0.87682	1.13853	2.03109	0.586896	-2.2998	-0.257819	-2.21392	-0.603351	2.58559	1.9891	2.70954	-2.69043	1.46592	0.241063	0.9652	0.132427	-1.21457	-1.57953	1.84367	2.134	1.14378	-1.9295	0.958714	2.50736
0.023	2.42028	1.48051	2.18324	1.10174	3.05022	1.65559	-1.05372	-0.826746	2.34214	-1.94441	0.417446	-0.309157	-0.035222	0.733334	0.161064	0.857107	-1.45529	-3.04739	-0.665564	-0.885507	0.398411	0.978904	-0.7926	1.87657	0.445609	0.006056	-2.07318	2.60441	-2.60129	1.26143	1.63833	-1.12503	0.580164	-3.02646	-1.05475	-1.51525	-2.85617	0.493175	-1.20173	-2.93988	0.958455	2.77332	-0.980163	-1.89496	-0.0596096	-0.181401	-1.48161	0.474402	0.456091	-0.0925092	-2.7372	0.208771	-2.94858	-1.71424	-1.72197	0.452916	1.00859
0.026	-0.678062	-0.498781	-0.0076832	-2.56949	1.60166	-2.94935	-2.06486	1.76627	-0.751194	2.89618	-2.53524	-2.8376	1.86119	2.66588	-1.70385	-0.539312	0.79978	-2.85828	0.819695	-2.86236	1.75853	2.26376	0.343505	-1.67553	-2.07386	2.0844	1.22254	-0.853587	-1.76487	-1.61592	0.575859	-0.846307	2.8907	-2.84884	-0.13305	-3.08318	-3.033	0.0434728	1.79967	2.823	1.28138	-2.92687	-1.58778	0.555103	1.8554	-2.98021	0.555385	-1.79955	-1.03772	-2.80875	3.03378	-2.8733	0.0118889	-0.965389	0.489117	0.960629	1.52728
0.029	-2.11659	0.450037	-2.57611	2.9091	2.51392	-2.06535	-0.724439	-0.0535873	1.80148	1.76598	2.4409	-2.49621	-2.79941	-2.51493	-1.56863	-2.66492	-2.68851	1.4152	2.42689	1.54913	-0.618705	-0.638428	-1.5902	0.783691	-1.34689	-0.545213	2.52491	-0.210881	-2.9298	-2.32054	-0.952877	-2.14125	0.846076	1.72327	2.08365	1.48436	0.895367	-0.772552	-1.61973	-1.02271	2.61876	1.56856	0.23753	-2.55629	-1.74274	0.239917	0.903263	0.0962958	1.97219	1.7202	-1.57589	-1.05736	0.525421	0.92195	1.39411	0.978792	-1.91147
0.032	2.18565	1.52943	2.59422	-1.43469	0.922381	1.23636	-2.55853	-1.76299	0.313188	-1.62681	0.342894	-2.34026	-2.34919	-0.631174	2.61795	-1.63781	0.863864	1.46319	0.490436	-0.431384	2.97539	-0.76987	2.74487	-2.1477	0.129139	1.55757	1.46586	-1.88812	-2.42606	-1.81546	-1.24643	-0.83759	1.05237	-0.645589	-2.53738	1.56701	-3.00656	-1.69336	0.587347	2.10229	-0.152758	0.984283	-0.360067	-3.1358	-2.80616	1.90185	-1.40523	0.892901	2.68157	0.618755	1.83979	-2.13456	3.13435	0.881859	-2.10198	-0.247881	-1.86185
0.035	2.70983	-0.920148	2.05517	-0.038471	1.4454	-0.188089	-0.345085	-1.45967	-0.990078	-3.02191	1.18168	0.551185	0.791921	-1.56404	0.183431	0.0506216	-2.43305	-2.20435	-2.49051	-1.47988	1.85935	-1.99268	2.15219	2.53223	-1.72736	1.52569	-2.77926	-1.81126	0.815353	-1.43875	0.515512	-2.91534	2.5741	-0.488644	0.345203	2.05618	1.65609	-1.30291	1.21142	2.66673	-2.29551	-1.93251	-2.18485	0.791696	0.798273	1.77619	3.0364	-1.65543	-0.877967	-0.0978856	-2.61013	1.50634	0.0852808	-2.49465	0.834688	0.77085	-2.32994
0.038	0.408253	-1.0699	-2.5577	2.12661	2.63596	-1.38067	1.04834	-0.677155	-1.82268	2.3644	1.672	-2.74649	1.58114	0.235697	-2.00435	-1.96072	-0.800032	0.0241998	-2.24425	1.82311	1.09298	-1.68272	-1.66057	-2.8934	-1.31223	-2.68441	2.56878	-2.38889	-0.343244	0.308326	-0.12945	-0.489385	-2.35951	-1.19917	-1.01639	-1.99346	-1.11111	-2.0386	2.80221	-2.6523	2.73105	-1.24653	-2.92302	-1.53153	1.80557	-2.09786	-1.14191	2.77602	2.5899	2.20277	-3.12714	-2.03113	0.995623	-0.886073	-2.11558	0.631853	-0.694714
0.041	-1.024	1.02846	-1.31369	2.3086	1.31468	0.389506	3.03673	2.72081	-0.422859	-2.73474	-2.59237	-2.15628	-0.343119	-2.77491	-2.86429	-1.21211	3.01325	0.818518	-0.777805	-1.25082	0.44781	2.96746	-1.13384	0.507618	-2.94665	-0.397855	0.415382	1.85838	0.096455	2.37524	2.2755	2.1784	-2.77322	0.0162883	-0.426565	1.29697	0.875905	2.80868	2.52831	-1.0247	-1.05555	0.703137	-1.56361	1.32199	-1.67296	-2.07315	2.46989	2.98975	2.93572	-0.0194207	2.53979	1.37634	0.731084	-1.71444	2.60183	2.08099	-2.77007
0.044	-2.56215	2.26696	-0.934539	-1.62131	-2.35357	-0.908649	2.07054	-1.20381	2.37175	1.03185	-2.39921	-0.629522	-0.577879	2.40853	1.1906	0.963143	0.0567548	2.25544	2.49454	-0.878663	-0.282094	-3.0003	0.0657944	-0.97042	0.950177	-1.56714	1.7532	1.05688	-0.239655	0.983988	-2.44508	2.57175	1.20884	0.316153	1.74597	2.28691	-0.00773004	-2.6944	-1.96494	2.13547	-2.69017	2.28608	2.63051	-0.836016	-1.88903	-0.803654	0.20861	1.55057	-0.923782	2.95618	-1.24381	-2.13369	3.02331	-0.763466	-2.16358	-2.65088	0.766613
0.047	-0.535308	1.18593	-2.56682	-2.11956	1.04766	0.43549	-2.25637	2.24583	-2.91386	-2.73021	1.61197	-1.74284	-1.55114	-2.93885	-3.04175	-2.36509	-0.00429531	0.825239	-1.71292	-1.90517	-2.16093	2.75263	0.015259	-1.09035	0.615237	-0.341623	-2.60895	2.80028	-2.44572	2.66254	-2.23234	-1.62638	-3.07888	-1.34163	-1.77389	-2.901	-2.00822	-3.06478	1.19737	-1.01885	0.309416	0.73008	2.78783	3.13511	1.32575	1.30871	-2.68967	-0.770881	-0.98067	-2.04953	1.52094	-1.33361	-0.598319	-2.21697	-2.83185	-0.461378	0.815641
