Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1500	0.000210586	0.000257065	0.00031755	0.000360844	0.000396037	0.000463308	0.000531735	0.000555964	0.000611542	0.000670843	0.000700019	0.000778456	0.000818637	0.000875514	0.000884997	0.00096712	0.00101491	0.001076	0.0011306	0.00119122	0.00123727	0.00128893	0.0013291	0.00138672	0.00145974	0.00148384	0.00155399	0.00161624	0.00165906	0.00170758	0.00174197	0.00179427	0.00185215	0.00193527	0.00196707	0.0020415
1505	0.000219671	0.00026508	0.000303077	0.000365923	0.000413246	0.00046283	0.000511354	0.000573578	0.000631341	0.000679508	0.000726979	0.000769685	0.000836726	0.000875646	0.000941982	0.000970365	0.00103843	0.00107815	0.0011348	0.00118895	0.00123793	0.00129832	0.00137095	0.00140454	0.00148891	0.00149409	0.00156114	0.00162939	0.00168164	0.0017298	0.00178297	0.00182032	0.00188619	0.00196588	0.00201012	0.00208304
1510	0.000240814	0.000271087	0.000326021	0.000372474	0.000423487	0.000488448	0.000546947	0.000595827	0.000646104	0.000702796	0.000742471	0.000801324	0.000835523	0.000900592	0.000956222	0.00099723	0.00105641	0.00110099	0.00118491	0.0012124	0.00128573	0.00133177	0.00137359	0.00143753	0.00150395	0.00156775	0.00159242	0.00166636	0.0017158	0.00179273	0.00180646	0.00185311	0.00191117	0.00198766	0.00205286	0.00212101
1515	0.000219029	0.000265663	0.000342667	0.000393033	0.00044459	0.000501538	0.000539415	0.00060362	0.000631875	0.000701008	0.00074876	0.000801069	0.000854548	0.000910175	0.000982642	0.00102074	0.00106145	0.00111787	0.0011618	0.0012575	0.00129363	0.00134809	0.00141368	0.00145996	0.0015247	0.00155781	0.00164057	0.00169183	0.00174662	0.00181228	0.00184159	0.00191533	0.00197126	0.00202657	0.00208647	0.0021695
1520	0.000229625	0.000300692	0.000344253	0.000384115	0.000454412	0.000492696	0.000563285	0.000586769	0.000661204	0.000723597	0.000772124	0.000831629	0.00088669	0.000932981	0.000994555	0.00104294	0.00109888	0.00115113	0.00121463	0.00126802	0.00131215	0.00137809	0.00140894	0.00147251	0.00153592	0.00161718	0.00166868	0.00174474	0.00176718	0.00182744	0.00185319	0.00194073	0.00200283	0.00209196	0.00215606	0.00222215
1525	0.000232696	0.000294715	0.000358925	0.000399702	0.000459239	0.000532374	0.000601924	0.00064044	0.000677462	0.000742074	0.000781476	0.000830862	0.000917615	0.000969141	0.000993451	0.00108517	0.00111917	0.0011578	0.00123713	0.00128557	0.00136416	0.00140081	0.00147418	0.00152184	0.00161395	0.0016365	0.00171095	0.00177888	0.00180258	0.00186993	0.00192145	0.00197555	0.00201495	0.0021125	0.00217872	0.00226415
1530	0.000244966	0.000305135	0.000346542	0.000406696	0.000467411	0.000539059	0.000579988	0.000632544	0.000693218	0.000759231	0.000815973	0.00085956	0.000936346	0.00098241	0.0010547	0.00110303	0.00113277	0.00121731	0.00126371	0.00132202	0.00138695	0.00144024	0.00149689	0.00157169	0.0016174	0.0016606	0.00172976	0.00179752	0.00184865	0.00192113	0.00196941	0.0020161	0.00208482	0.00217342	0.00222799	0.00227339
1535	0.000259089	0.000314915	0.000369426	0.000422426	0.000456624	0.000542921	0.000603891	0.000656041	0.00069673	0.000762097	0.000834272	0.000891373	0.000935892	0.000997069	0.00105587	0.00112796	0.00117526	0.00123992	0.00129034	0.00134342	0.00141217	0.0014781	0.00155387	0.00161151	0.00166401	0.00169212	0.00177762	0.00183925	0.00190364	0.00197477	0.00201499	0.00207855	0.00212374	0.00219299	0.00226578	0.00235351
1540	0.000244706	0.000292318	0.00036221	0.000420618	0.000496717	0.000532505	0.000630338	0.000689825	0.000715526	0.000780141	0.000836633	0.000896069	0.000955156	0.00102514	0.00107483	0.00115221	0.00119842	0.00126065	0.00132813	0.00140275	0.00143829	0.00150733	0.00156605	0.00164936	0.00168352	0.00175189	0.00180671	0.00186893	0.00193741	0.00201538	0.00205803	0.00210894	0.00217903	0.002254	0.00230479	0.00240112
1545	0.000246174	0.000307048	0.000377957	0.000427305	0.000501682	0.000544836	0.000628411	0.000685926	0.000738614	0.000813768	0.000857532	0.000912583	0.000989038	0.00104672	0.00111689	0.00116761	0.00123051	0.00129784	0.00134049	0.00139766	0.00147537	0.00155115	0.00159828	0.00166772	0.00171216	0.00177277	0.00184507	0.00190041	0.0019595	0.00205287	0.00209457	0.00215555	0.00221156	0.00229933	0.00237326	0.00244062
1550	0.000257902	0.000301743	0.000374349	0.000446572	0.000510129	0.000565551	0.000646807	0.00068013	0.000753684	0.00079402	0.000891633	0.000948675	0.00103038	0.00105136	0.00114634	0.00121569	0.00125887	0.00131761	0.00137127	0.0014489	0.0015023	0.00156381	0.0016265	0.0017003	0.00175674	0.00180283	0.00187773	0.00194541	0.00202088	0.00208835	0.00214202	0.00219964	0.00226677	0.00233268	0.00239521	0.00250354
1555	0.000269906	0.000331407	0.000387236	0.000430747	0.000517694	0.000566689	0.00062778	0.000698433	0.000765314	0.000822091	0.000908635	0.000968658	0.00101135	0.00107233	0.00114903	0.00121825	0.00127015	0.00132776	0.00140878	0.00147549	0.0015173	0.00159051	0.00168113	0.00170892	0.00179123	0.0018678	0.00191183	0.00197912	0.00206434	0.00212881	0.00219544	0.00224789	0.00233735	0.00238629	0.00248237	0.00255126
1560	0.00024584	0.000344553	0.000401821	0.0004451	0.000528322	0.000592516	0.000640764	0.000725269	0.000760863	0.000824904	0.000907042	0.000957217	0.0010379	0.001101	0.00116361	0.0012304	0.00132481	0.00135335	0.00141662	0.00150613	0.00158919	0.0016367	0.00169893	0.00174068	0.0018053	0.0018887	0.00198199	0.00202353	0.00207901	0.0021404	0.00221365	0.00227607	0.00232993	0.00241909	0.00253239	0.00257532
1565	0.000274714	0.000340707	0.00040682	0.000451656	0.00053468	0.000588074	0.000661162	0.000725059	0.000792983	0.000868534	0.000924794	0.00101115	0.00105216	0.00112217	0.00117252	0.00126883	0.00130541	0.00138839	0.00142538	0.00150811	0.00158271	0.00165582	0.0017113	0.00177637	0.00184731	0.00192936	0.00199321	0.00205971	0.0021087	0.00219232	0.00228972	0.00235122	0.00238373	0.00249049	0.00254953	0.00262933
1570	0.000264428	0.000336474	0.000382142	0.000473432	0.00053859	0.000613946	0.000675412	0.000716622	0.000827522	0.000868394	0.000935446	0.000985056	0.00108315	0.00113209	0.00119474	0.00127982	0.00134565	0.00139357	0.00147604	0.00155227	0.0016201	0.00167104	0.00172505	0.00182924	0.00187768	0.00193976	0.0020257	0.00208911	0.0021671	0.00224927	0.0023046	0.00238332	0.0024436	0.00252242	0.00259665	0.00268861
1575	0.000269026	0.000356729	0.000422891	0.000481281	0.000549349	0.000596714	0.000672234	0.000745997	0.000809243	0.00087374	0.000947215	0.00103381	0.00109403	0.00113779	0.00122487	0.00130429	0.00138695	0.00144363	0.0014865	0.00158541	0.00163703	0.00172004	0.00179368	0.00184162	0.00192011	0.00199575	0.00203975	0.00209569	0.00222326	0.00228776	0.00234659	0.00241667	0.00247502	0.00257048	0.00264321	0.0027167
1580	0.000282873	0.000331396	0.000408413	0.000469696	0.000559868	0.000615844	0.000689432	0.000759834	0.000806984	0.000880802	0.00096495	0.00103485	0.00112394	0.00118302	0.00124874	0.00131073	0.00138616	0.00143792	0.00153607	0.00158474	0.00167268	0.00174814	0.00181906	0.00188762	0.00193593	0.00200964	0.00207026	0.00216981	0.00224932	0.00231538	0.00239103	0.00244386	0.00250283	0.00258525	0.00269713	0.00277912
1585	0.000288062	0.000352279	0.000413648	0.00046142	0.000548583	0.000615178	0.00069705	0.000770366	0.000836746	0.000909584	0.000980667	0.00105574	0.00110929	0.00118915	0.00126432	0.00134892	0.00139107	0.00147832	0.001566	0.00164573	0.00169424	0.00175282	0.00185168	0.00191243	0.00197208	0.00204572	0.00213157	0.00219833	0.0022839	0.00236891	0.00242609	0.00250271	0.00254537	0.00266573	0.00271984	0.00283186
