Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1500	-1.61731	-1.51498	-1.67008	-1.60159	-1.6265	-1.60662	-1.62236	-1.6041	-1.64457	-1.58387	-1.63532	-1.61649	-1.6164	-1.60447	-1.60899	-1.60415	-1.62805	-1.61318	-1.63008	-1.64597	-1.63531	-1.62145	-1.65381	-1.62825	-1.62777	-1.62992	-1.63136	-1.64304	-1.64488	-1.64377	-1.65599	-1.63414	-1.64879	-1.63024	-1.63125	-1.6413
1505	-1.64262	-1.58115	-1.61699	-1.54863	-1.59376	-1.59048	-1.62121	-1.61928	-1.61029	-1.59388	-1.5993	-1.60081	-1.59996	-1.61442	-1.60668	-1.62614	-1.65567	-1.60746	-1.61685	-1.62564	-1.62858	-1.62777	-1.64116	-1.62965	-1.61882	-1.63588	-1.61691	-1.61418	-1.61936	-1.63815	-1.62931	-1.62868	-1.62118	-1.63652	-1.63429	-1.65291
1510	-1.63444	-1.62025	-1.60941	-1.65786	-1.57516	-1.61348	-1.60308	-1.61854	-1.61763	-1.60097	-1.62419	-1.60253	-1.60335	-1.59682	-1.62817	-1.60943	-1.61186	-1.61815	-1.64644	-1.61728	-1.61011	-1.64072	-1.6281	-1.61709	-1.61782	-1.63694	-1.62955	-1.62642	-1.61889	-1.62519	-1.61623	-1.62318	-1.63057	-1.61908	-1.62983	-1.64103
1515	-1.5856	-1.60541	-1.58416	-1.58546	-1.5651	-1.58399	-1.65662	-1.55874	-1.58256	-1.58038	-1.56802	-1.61259	-1.59405	-1.6127	-1.61323	-1.62381	-1.61012	-1.6098	-1.61405	-1.6116	-1.6062	-1.62957	-1.61323	-1.62899	-1.62952	-1.61999	-1.61573	-1.63553	-1.61919	-1.61513	-1.62297	-1.62629	-1.6252	-1.6169	-1.62983	-1.62682
1520	-1.62266	-1.56252	-1.55438	-1.56987	-1.61374	-1.57589	-1.5772	-1.59345	-1.60774	-1.5803	-1.6025	-1.59699	-1.60255	-1.60522	-1.61494	-1.61192	-1.61421	-1.62173	-1.59436	-1.6098	-1.62655	-1.62348	-1.59168	-1.61501	-1.61643	-1.62582	-1.61928	-1.63761	-1.62038	-1.61195	-1.62143	-1.62002	-1.61263	-1.62397	-1.61538	-1.62727
1525	-1.65001	-1.59186	-1.61335	-1.57978	-1.61386	-1.56963	-1.59654	-1.64402	-1.62073	-1.59389	-1.62628	-1.60638	-1.61557	-1.60609	-1.59268	-1.59988	-1.58616	-1.6145	-1.59857	-1.6141	-1.60675	-1.61784	-1.60396	-1.6241	-1.61662	-1.62056	-1.61664	-1.6258	-1.61029	-1.61655	-1.61508	-1.61234	-1.62205	-1.61464	-1.62881	-1.63111
1530	-1.64004	-1.60541	-1.61449	-1.58801	-1.61553	-1.59383	-1.60838	-1.5778	-1.60122	-1.59466	-1.62764	-1.60015	-1.62317	-1.61021	-1.61906	-1.61076	-1.6265	-1.60917	-1.60822	-1.62348	-1.60385	-1.60284	-1.60648	-1.59874	-1.62148	-1.6155	-1.61538	-1.622	-1.62059	-1.6187	-1.62272	-1.60391	-1.62163	-1.6226	-1.617	-1.6302
1535	-1.62068	-1.63056	-1.56024	-1.61595	-1.63917	-1.62995	-1.61464	-1.61506	-1.60534	-1.62254	-1.60204	-1.61446	-1.59433	-1.60798	-1.60797	-1.62553	-1.61022	-1.61724	-1.60152	-1.61665	-1.61821	-1.60241	-1.61965	-1.60012	-1.61494	-1.61767	-1.63115	-1.62415	-1.61266	-1.60846	-1.62551	-1.6111	-1.61816	-1.62696	-1.62601	-1.61912
1540	-1.62604	-1.60042	-1.63648	-1.5651	-1.61077	-1.64131	-1.61071	-1.60491	-1.63316	-1.6161	-1.623	-1.62656	-1.61459	-1.61889	-1.6031	-1.60724	-1.61684	-1.60786	-1.62439	-1.61307	-1.61911	-1.59975	-1.61278	-1.63373	-1.63011	-1.62832	-1.63408	-1.62318	-1.62399	-1.62798	-1.62305	-1.6182	-1.62477	-1.62359	-1.62708	-1.62705
1545	-1.73644	-1.61371	-1.60731	-1.64226	-1.60996	-1.63137	-1.62555	-1.62241	-1.59333	-1.61724	-1.60581	-1.6151	-1.60485	-1.61202	-1.62561	-1.59402	-1.63375	-1.60679	-1.6287	-1.61802	-1.62168	-1.62639	-1.63236	-1.62266	-1.62413	-1.62585	-1.62261	-1.62903	-1.63834	-1.62202	-1.62965	-1.63572	-1.62173	-1.63148	-1.63042	-1.62845
1550	-1.71077	-1.57444	-1.59025	-1.61926	-1.63456	-1.61325	-1.59086	-1.61328	-1.61313	-1.62427	-1.63615	-1.63714	-1.62878	-1.63476	-1.62631	-1.63523	-1.63045	-1.61843	-1.63174	-1.61834	-1.61747	-1.62999	-1.6406	-1.63416	-1.61967	-1.62447	-1.646	-1.63991	-1.63757	-1.61821	-1.62867	-1.64349	-1.63353	-1.629	-1.63796	-1.63696
1555	-1.60339	-1.6148	-1.62883	-1.63233	-1.63323	-1.59262	-1.62398	-1.65795	-1.63255	-1.63137	-1.61709	-1.62577	-1.62493	-1.63372	-1.62077	-1.61983	-1.64072	-1.63814	-1.61975	-1.62593	-1.63146	-1.64936	-1.63072	-1.63507	-1.6288	-1.63966	-1.64259	-1.64363	-1.63239	-1.63113	-1.63426	-1.63934	-1.63445	-1.63012	-1.6542	-1.64267
1560	-1.66894	-1.63246	-1.65265	-1.66388	-1.62141	-1.66381	-1.64726	-1.62171	-1.61795	-1.63915	-1.6276	-1.64707	-1.66438	-1.62669	-1.63918	-1.66578	-1.62654	-1.63023	-1.65913	-1.63902	-1.63924	-1.62386	-1.63171	-1.62323	-1.63878	-1.64509	-1.64611	-1.64475	-1.63597	-1.64889	-1.64135	-1.63107	-1.6458	-1.6332	-1.64401	-1.64731
1565	-1.65475	-1.63502	-1.61288	-1.65961	-1.66668	-1.62966	-1.63286	-1.66916	-1.6525	-1.64049	-1.64878	-1.68043	-1.64603	-1.63339	-1.64062	-1.65308	-1.64656	-1.64935	-1.63548	-1.65891	-1.64365	-1.64656	-1.63878	-1.66183	-1.65729	-1.64161	-1.64083	-1.64515	-1.64763	-1.66111	-1.65687	-1.65705	-1.64014	-1.64161	-1.65166	-1.65799
1570	-1.6785	-1.56392	-1.68198	-1.70289	-1.62333	-1.68346	-1.63606	-1.62702	-1.65768	-1.64627	-1.64812	-1.64673	-1.64047	-1.63762	-1.64461	-1.63375	-1.64878	-1.6612	-1.66141	-1.65078	-1.65528	-1.64923	-1.65773	-1.63595	-1.63977	-1.65391	-1.64619	-1.65682	-1.6536	-1.65253	-1.66331	-1.65424	-1.66039	-1.64986	-1.65225	-1.65808
1575	-1.67773	-1.71691	-1.63683	-1.65399	-1.60106	-1.68035	-1.66621	-1.63832	-1.65257	-1.67987	-1.67403	-1.65611	-1.66101	-1.6469	-1.66529	-1.64932	-1.64335	-1.66076	-1.65723	-1.66485	-1.66966	-1.65782	-1.65198	-1.66048	-1.6611	-1.66205	-1.66768	-1.65949	-1.66853	-1.65305	-1.67108	-1.65268	-1.65898	-1.6685	-1.6675	-1.65858
1580	-1.70414	-1.67738	-1.64694	-1.67966	-1.63204	-1.65946	-1.67275	-1.66154	-1.64158	-1.65873	-1.67261	-1.66703	-1.66477	-1.68719	-1.66104	-1.67903	-1.66927	-1.65563	-1.66987	-1.65613	-1.66518	-1.67304	-1.66626	-1.67187	-1.67484	-1.66611	-1.65691	-1.67539	-1.67234	-1.67232	-1.66224	-1.66765	-1.65703	-1.67044	-1.66987	-1.66539
1585	-1.72633	-1.75005	-1.6554	-1.69138	-1.71057	-1.66058	-1.68403	-1.66443	-1.67454	-1.65782	-1.66615	-1.67594	-1.63539	-1.68852	-1.66159	-1.67169	-1.67058	-1.69049	-1.66439	-1.6765	-1.6667	-1.65209	-1.67088	-1.67033	-1.66684	-1.66961	-1.66853	-1.67716	-1.6705	-1.66165	-1.67112	-1.66819	-1.66649	-1.68272	-1.67733	-1.68205
