Reference Amplitude (V)	9900Hz	6940Hz
0.02	0.00632198	0.0356384
0.023	0.00613884	0.0373417
0.026	0.00778303	0.0490973
0.029	0.00961509	0.0657981
0.032	0.0105439	0.0946298
0.035	0.0146668	0.118758
0.038	0.0136961	0.13716
0.041	0.015344	0.165981
0.044	0.0166353	0.180687
0.047	0.0218562	0.212471
0.05	0.0208288	0.226668
0.053	0.0226787	0.260992
0.056	0.0243861	0.289475
0.059	0.0261118	0.305203
0.062	0.0266776	0.334347
0.065	0.0308762	0.366978
0.068	0.0345952	0.396166
0.071	0.0339555	0.416838
0.074	0.0380079	0.0222096
0.077	0.0379605	0.0139132
0.08	0.0388583	0.0146097
0.083	0.0441264	0.0158338
0.086	0.0434862	0.0158425
0.089	0.0442695	0.0165152
0.092	0.0512459	0.0172542
0.095	0.0527156	0.0179515
0.098	0.0533811	0.0182314
0.101	0.0582786	0.0187139
0.104	0.0607766	0.0196049
0.107	0.0606087	0.0198211
0.11	0.0606737	0.0204853
0.113	0.0699657	0.0210815
0.116	0.0674578	0.0215895
0.119	0.0764834	0.0223522
0.122	0.0710151	0.022868
0.125	0.0764681	0.0233233
0.128	0.077664	0.0241766
0.131	0.0818194	0.0241916
0.134	0.00108684	0.0247286
0.137	0.00131389	0.0250698
0.14	0.00134634	0.0254629
0.143	0.00157824	0.0262717
0.146	0.00150015	0.0267604
0.149	0.00169269	0.0266822
0.15	0.00192145	0.0271141
0.147	0.00187322	0.0275641
0.144	0.00168283	0.0277401
0.141	0.00181377	0.0278399
0.138	0.00182327	0.0273518
0.135	0.00171058	0.0274287
0.132	0.0019199	0.0271989
0.129	0.00178269	0.0269353
0.126	0.00159482	0.0270382
0.123	0.00173736	0.0267932
0.12	0.00167723	0.0266098
0.117	0.00172085	0.0261586
0.114	0.00167961	0.0257723
0.111	0.00170783	0.0259798
0.108	0.00148353	0.0256995
0.105	0.00150255	0.0254761
0.102	0.00146371	0.0253004
0.099	0.00144621	0.0251995
0.096	0.001401	0.0243986
0.093	0.00133506	0.0242189
0.09	0.00130224	0.0239068
0.087	0.00122665	0.023295
0.084	0.00136577	0.0224311
0.081	0.00124716	0.0223143
0.078	0.00127266	0.021431
0.075	0.00111677	0.0204558
0.072	0.00108163	0.0196778
0.069	0.00124441	0.0190087
0.066	0.00123712	0.0178022
0.063	0.00122087	0.0176451
0.06	0.00131188	0.0164575
0.057	0.0181278	0.0156241
0.054	0.018946	0.0147612
0.051	0.0161449	0.0137016
0.048	0.015916	0.0130918
0.045	0.0149261	0.01218
0.042	0.0147836	0.194315
0.039	0.0117967	0.16667
0.036	0.011203	0.135583
0.033	0.00997471	0.111826
0.03	0.00724419	0.0910616
0.027	0.00697385	0.0659585
0.024	0.00641947	0.052249
0.021	0.00487475	0.0347264
