Reference Amplitude (V)	9900Hz	6940Hz
0.02	0.25741	1.45906
0.023	0.236084	1.5513
0.026	0.3108	2.04759
0.029	0.39612	2.85339
0.032	0.420434	4.14433
0.035	0.575457	5.27548
0.038	0.550809	6.59032
0.041	0.59603	8.03503
0.044	0.661907	8.99411
0.047	0.888101	10.9883
0.05	0.863784	12.3625
0.053	0.928126	14.4859
0.056	0.991866	16.1598
0.059	1.0445	18.0405
0.062	1.11167	20.5225
0.065	1.27633	23.4901
0.068	1.39189	26.255
0.071	1.3852	28.7223
0.074	1.5512	47.8345
0.077	1.55051	79.7003
0.08	1.55042	82.2618
0.083	1.86105	89.7998
0.086	1.83131	90.3121
0.089	1.87429	95.5409
0.092	2.09413	101.405
0.095	2.2126	106.563
0.098	2.29792	109.408
0.101	2.53385	114.961
0.104	2.65129	121.748
0.107	2.57609	126.015
0.11	2.67265	131.838
0.113	3.04149	136.896
0.116	2.90927	141.232
0.119	3.2881	147.636
0.122	3.19902	152.764
0.125	3.37455	159.044
0.128	3.44386	167.116
0.131	3.49134	170.143
0.134	2.00323	176.232
0.137	2.19147	181.296
0.14	2.1972	187.451
0.143	2.49773	194.637
0.146	2.3426	201.889
0.149	2.62042	204.586
0.15	2.9093	206.574
0.147	2.70598	198.709
0.144	2.40364	191.848
0.141	2.50548	186.967
0.138	2.43954	176.839
0.135	2.21907	172.146
0.132	2.4532	164.82
0.129	2.24127	157.871
0.126	1.96479	153.727
0.123	2.07927	147.629
0.12	1.97893	141.357
0.117	1.99661	134.421
0.114	1.90844	128.667
0.111	1.91637	123.775
0.108	1.65466	118.097
0.105	1.62347	113.182
0.102	1.53584	107.32
0.099	1.51602	104.006
0.096	1.42823	96.9489
0.093	1.34612	91.7273
0.09	1.29308	87.4283
0.087	1.18897	81.5827
0.084	1.2706	76.4621
0.081	1.14737	72.1819
0.078	1.1427	66.2838
0.075	0.975766	60.461
0.072	0.916472	56.4568
0.069	1.00984	52.2756
0.066	0.957254	46.9449
0.063	0.8802	43.2943
0.06	0.86267	37.9821
0.057	0.739693	33.6051
0.054	0.769688	29.462
0.051	0.655574	24.7977
0.048	0.641406	21.1482
0.045	0.602004	16.4141
0.042	0.591781	9.78713
0.039	0.475686	8.02234
0.036	0.447309	6.46195
0.033	0.403684	5.13945
0.03	0.296486	4.01882
0.027	0.290468	2.87338
0.024	0.256446	2.22415
0.021	0.199145	1.46544
