Reference Amplitude (V)	9900Hz	6940Hz
0.02	40.7166	40.9408
0.023	38.4574	41.5433
0.026	39.933	41.7048
0.029	41.1978	43.3658
0.032	39.8745	43.7952
0.035	39.2354	44.422
0.038	40.2166	48.0484
0.041	38.8444	48.4094
0.044	39.7893	49.7772
0.047	40.6339	51.7168
0.05	41.4706	54.54
0.053	40.925	55.5033
0.056	40.6735	55.8244
0.059	40.0011	59.11
0.062	41.6705	61.3809
0.065	41.3371	64.0096
0.068	40.2338	66.2728
0.071	40.7945	68.9053
0.074	40.8125	2153.78
0.077	40.8452	5728.39
0.08	39.8993	5630.64
0.083	42.1753	5671.41
0.086	42.1125	5700.64
0.089	42.3383	5785.01
0.092	40.8644	5877.11
0.095	41.9724	5936.14
0.098	43.0475	6001.09
0.101	43.4782	6143.1
0.104	43.6235	6210.1
0.107	42.5035	6357.62
0.11	44.0495	6435.71
0.113	43.4712	6493.64
0.116	43.1273	6541.67
0.119	42.9911	6604.99
0.122	45.0471	6680.27
0.125	44.1301	6819.09
0.128	44.3431	6912.29
0.131	42.6713	7033.16
0.134	1843.16	7126.67
0.137	1667.93	7231.67
0.14	1631.98	7361.73
0.143	1582.61	7408.61
0.146	1561.57	7544.31
0.149	1548.08	7667.49
0.15	1514.12	7618.68
0.147	1444.56	7208.98
0.144	1428.34	6915.94
0.141	1381.37	6715.8
0.138	1338	6465.35
0.135	1297.26	6276.14
0.132	1277.78	6059.82
0.129	1257.24	5861.14
0.126	1231.98	5685.55
0.123	1196.8	5509.92
0.12	1179.88	5312.22
0.117	1160.24	5138.7
0.114	1136.24	4992.44
0.111	1122.11	4764.28
0.108	1115.35	4595.33
0.105	1080.48	4442.7
0.102	1049.29	4241.84
0.099	1048.27	4127.3
0.096	1019.44	3973.54
0.093	1008.28	3787.42
0.09	992.965	3657.04
0.087	969.279	3502.15
0.084	930.317	3408.76
0.081	919.993	3234.78
0.078	897.883	3092.89
0.075	873.742	2955.69
0.072	847.304	2869.06
0.069	811.505	2750.08
0.066	773.779	2637.02
0.063	720.96	2453.62
0.06	657.585	2307.89
0.057	40.8044	2150.85
0.054	40.6253	1995.91
0.051	40.6056	1809.84
0.048	40.2995	1615.38
0.045	40.3322	1347.62
0.042	40.0295	50.3674
0.039	40.3237	48.1331
0.036	39.9277	47.6604
0.033	40.4708	45.9592
0.03	40.9274	44.133
0.027	41.6511	43.5635
0.024	39.9482	42.5683
0.021	40.8524	42.1996
