Reference Amplitude (V)	9900Hz	6940Hz
0.02	0.00605524	0.00753213
0.023	0.00590755	0.00679368
0.026	0.00605524	0.00664599
0.029	0.00723675	0.00664599
0.032	0.00620293	0.00723675
0.035	0.0064983	0.00723675
0.038	0.00635062	0.00767981
0.041	0.00590755	0.00841826
0.044	0.00664599	0.00812288
0.047	0.00635062	0.00827057
0.05	0.0064983	0.0091567
0.053	0.00664599	0.00959977
0.056	0.00620293	0.00886132
0.059	0.0064983	0.00989514
0.062	0.0064983	0.00959977
0.065	0.00635062	0.0103382
0.068	0.00620293	0.0100428
0.071	0.00664599	0.0100428
0.074	0.00679368	0.153892
0.077	0.00664599	0.11313
0.08	0.00679368	0.110028
0.083	0.00679368	0.111505
0.086	0.0064983	0.112391
0.089	0.00708906	0.112243
0.092	0.00679368	0.112982
0.095	0.00679368	0.115493
0.098	0.00679368	0.11564
0.101	0.0064983	0.116674
0.104	0.00738444	0.117265
0.107	0.00664599	0.118446
0.11	0.00694137	0.119332
0.113	0.00694137	0.120514
0.116	0.00708906	0.120957
0.119	0.00753213	0.122582
0.122	0.00753213	0.121696
0.125	0.00738444	0.123468
0.128	0.00738444	0.124945
0.131	0.00738444	0.126717
0.134	0.0460789	0.125831
0.137	0.0434205	0.127308
0.14	0.042682	0.128932
0.143	0.0420913	0.129375
0.146	0.0416482	0.130114
0.149	0.042239	0.131
0.15	0.0412052	0.131
0.147	0.0407621	0.127308
0.144	0.0404667	0.124206
0.141	0.0395806	0.12332
0.138	0.0389898	0.120957
0.135	0.0388421	0.118889
0.132	0.0382514	0.118299
0.129	0.0378083	0.115197
0.126	0.0373652	0.114902
0.123	0.0370699	0.112982
0.12	0.0373652	0.10929
0.117	0.0369222	0.10737
0.114	0.0367745	0.106631
0.111	0.0363314	0.103087
0.108	0.0361837	0.102053
0.105	0.036036	0.100428
0.102	0.0352976	0.0990991
0.099	0.0350022	0.0974746
0.096	0.0345592	0.0959977
0.093	0.0348545	0.0931916
0.09	0.0351499	0.0918624
0.087	0.0347069	0.0896471
0.084	0.0339684	0.0896471
0.081	0.0329346	0.0865456
0.078	0.0333777	0.0843303
0.075	0.0321961	0.0822626
0.072	0.0324915	0.0813765
0.069	0.0317531	0.0790135
0.066	0.0304239	0.0773889
0.063	0.0298331	0.0750259
0.06	0.0285039	0.0734013
0.057	0.00635062	0.0701521
0.054	0.00635062	0.0683799
0.051	0.0064983	0.0655738
0.048	0.00605524	0.0611431
0.045	0.00620293	0.0562694
0.042	0.00590755	0.00827057
0.039	0.00635062	0.0078275
0.036	0.00605524	0.0078275
0.033	0.00620293	0.00767981
0.03	0.00635062	0.00708906
0.027	0.00575986	0.00738444
0.024	0.00575986	0.00679368
0.021	0.00575986	0.00708906
