Reference Amplitude (V)	9900Hz	6940Hz
0.02	0.00590755	0.00841826
0.023	0.00605524	0.00708906
0.026	0.00620293	0.0078275
0.029	0.00723675	0.0078275
0.032	0.00620293	0.00841826
0.035	0.00635062	0.00945208
0.038	0.00620293	0.00930439
0.041	0.00635062	0.0104859
0.044	0.00767981	0.0100428
0.047	0.00708906	0.0115197
0.05	0.00708906	0.0119628
0.053	0.00738444	0.0135874
0.056	0.0064983	0.0118151
0.059	0.00694137	0.0131443
0.062	0.00664599	0.0137351
0.065	0.00664599	0.0144735
0.068	0.00635062	0.0144735
0.071	0.00694137	0.0153596
0.074	0.00723675	0.295525
0.077	0.00738444	0.208684
0.08	0.00767981	0.20573
0.083	0.00723675	0.20706
0.086	0.00708906	0.208684
0.089	0.00797519	0.209718
0.092	0.00753213	0.212524
0.095	0.00738444	0.212524
0.098	0.00753213	0.213853
0.101	0.00708906	0.216807
0.104	0.00812288	0.217398
0.107	0.00767981	0.221385
0.11	0.00797519	0.220647
0.113	0.0078275	0.224339
0.116	0.00841826	0.224339
0.119	0.00856595	0.225964
0.122	0.00827057	0.225964
0.125	0.00856595	0.228327
0.128	0.00827057	0.23069
0.131	0.00856595	0.233791
0.134	0.0880225	0.235268
0.137	0.0834441	0.235711
0.14	0.0822626	0.238074
0.143	0.080195	0.23837
0.146	0.0803427	0.241323
0.149	0.0804904	0.242653
0.15	0.0787181	0.242357
0.147	0.077832	0.235564
0.144	0.0769458	0.229508
0.141	0.0754689	0.226555
0.138	0.0739921	0.223748
0.135	0.0738444	0.219465
0.132	0.0729582	0.217102
0.129	0.0722198	0.212081
0.126	0.0707429	0.210161
0.123	0.0704475	0.206912
0.12	0.0705952	0.202186
0.117	0.0698568	0.198346
0.114	0.0694137	0.196426
0.111	0.0686753	0.190666
0.108	0.0689706	0.18786
0.105	0.0674937	0.184759
0.102	0.0661646	0.183134
0.099	0.0658692	0.17767
0.096	0.0646877	0.175307
0.093	0.0654261	0.171319
0.09	0.064983	0.167922
0.087	0.0646877	0.164968
0.084	0.0630631	0.162605
0.081	0.0629154	0.157584
0.078	0.0615862	0.153892
0.075	0.0607001	0.150495
0.072	0.0608478	0.147689
0.069	0.0589278	0.14444
0.066	0.0568602	0.142224
0.063	0.0547925	0.137351
0.06	0.0524295	0.132772
0.057	0.00635062	0.127308
0.054	0.00605524	0.123172
0.051	0.0064983	0.117117
0.048	0.00605524	0.110323
0.045	0.0064983	0.100428
0.042	0.00605524	0.0107813
0.039	0.00635062	0.00989514
0.036	0.00708906	0.00900901
0.033	0.00635062	0.00930439
0.03	0.00635062	0.00856595
0.027	0.00561217	0.00841826
0.024	0.00561217	0.00767981
0.021	0.00590755	0.00753213
