Reference Amplitude (V)	9900Hz	6940Hz
0.02	0.000298415	0.000823088
0.023	0.000332548	0.000868928
0.026	0.000369255	0.000993607
0.029	0.000407878	0.0011934
0.032	0.000425222	0.0013917
0.035	0.00046516	0.0015825
0.038	0.00049511	0.00174606
0.041	0.000560597	0.00192981
0.044	0.000582651	0.00209981
0.047	0.000605709	0.00226703
0.05	0.000637774	0.0024767
0.053	0.000660438	0.00257931
0.056	0.000673798	0.00277281
0.059	0.000694297	0.00295275
0.062	0.000739556	0.00314065
0.065	0.000746319	0.0033392
0.068	0.000788879	0.00353693
0.071	0.000785123	0.00374131
0.074	0.00083476	0.00640064
0.077	0.000864157	0.00618731
0.08	0.000859713	0.00634366
0.083	0.000898982	0.00654543
0.086	0.000929644	0.00669777
0.089	0.000935259	0.00675242
0.092	0.000971089	0.00699249
0.095	0.00100625	0.00719396
0.098	0.00103312	0.00722337
0.101	0.00105292	0.00748049
0.104	0.00106963	0.00757694
0.107	0.00110684	0.00775364
0.11	0.00112061	0.00798894
0.113	0.0011554	0.00818673
0.116	0.00117219	0.00826217
0.119	0.0012148	0.00842766
0.122	0.00124267	0.00855562
0.125	0.00125647	0.00880006
0.128	0.0012816	0.00894775
0.131	0.00129854	0.00905726
0.134	0.000921853	0.00922737
0.137	0.0009589	0.00933121
0.14	0.00102218	0.00948237
0.143	0.00102776	0.00963152
0.146	0.00105139	0.00982545
0.149	0.00108941	0.00996442
0.15	0.00109394	0.00998352
0.147	0.0010847	0.00986199
0.144	0.00105286	0.00961446
0.141	0.00105062	0.00941263
0.138	0.00104957	0.00929761
0.135	0.00100885	0.00907913
0.132	0.000997651	0.00892703
0.129	0.000997871	0.00874867
0.126	0.000976614	0.00864611
0.123	0.000937482	0.00841952
0.12	0.000927398	0.00831648
0.117	0.000883322	0.00810213
0.114	0.000876193	0.00792649
0.111	0.000836459	0.00769071
0.108	0.000868608	0.00755218
0.105	0.000849617	0.00734596
0.102	0.000821085	0.00718971
0.099	0.00078793	0.00703391
0.096	0.000776392	0.00681865
0.093	0.000781243	0.00662959
0.09	0.000741845	0.00638611
0.087	0.000715481	0.00625147
0.084	0.000696836	0.00610187
0.081	0.000696494	0.0058709
0.078	0.00065754	0.00562496
0.075	0.000643818	0.0053941
0.072	0.00064664	0.00520951
0.069	0.000635339	0.00501459
0.066	0.000632035	0.00477068
0.063	0.000611464	0.00452928
0.06	0.000599933	0.00434159
0.057	0.000613327	0.00403399
0.054	0.000579072	0.00378668
0.051	0.000540662	0.00349328
0.048	0.00052378	0.00318185
0.045	0.000507651	0.00283065
0.042	0.000490354	0.00215629
0.039	0.000446734	0.00195818
0.036	0.000413801	0.00175283
0.033	0.000388053	0.00156897
0.03	0.000374602	0.0013919
0.027	0.000328521	0.00119382
0.024	0.000290527	0.00102238
0.021	0.000259453	0.000824481
