Reference Amplitude (V)	9900Hz	6940Hz
0.02	-2.76147	-1.90019
0.023	-2.75168	-1.81564
0.026	-2.7893	-1.64413
0.029	-2.79762	-1.52184
0.032	-2.75095	-1.47752
0.035	-2.792	-1.45946
0.038	-2.7539	-1.45913
0.041	-2.78605	-1.45219
0.044	-2.76634	-1.46903
0.047	-2.79511	-1.46498
0.05	-2.78367	-1.47782
0.053	-2.78386	-1.47937
0.056	-2.80727	-1.4935
0.059	-2.79167	-1.47896
0.062	-2.78387	-1.48566
0.065	-2.77437	-1.49839
0.068	-2.79506	-1.50469
0.071	-2.80744	-1.50907
0.074	-2.82173	-1.8759
0.077	-2.79418	-1.92532
0.08	-2.79202	-1.94626
0.083	-2.79754	-1.95823
0.086	-2.82406	-1.97359
0.089	-2.83237	-1.98802
0.092	-2.8219	-2.00262
0.095	-2.82167	-2.01015
0.098	-2.83853	-2.02278
0.101	-2.80605	-2.03206
0.104	-2.8132	-2.04343
0.107	-2.83198	-2.05346
0.11	-2.8414	-2.06143
0.113	-2.8401	-2.06629
0.116	-2.85277	-2.07661
0.119	-2.84728	-2.08202
0.122	-2.85423	-2.08857
0.125	-2.83177	-2.09438
0.128	-2.84782	-2.10288
0.131	-2.84202	-2.10996
0.134	3.07278	-2.11155
0.137	3.12731	-2.12058
0.14	-3.13413	-2.12743
0.143	-3.1221	-2.12785
0.146	-3.09726	-2.13242
0.149	-3.11969	-2.13898
0.15	-3.1112	-2.14084
0.147	-3.09093	-2.13343
0.144	-3.10722	-2.12741
0.141	-3.12373	-2.12361
0.138	-3.0879	-2.11468
0.135	-3.10324	-2.10694
0.132	-3.10055	-2.10143
0.129	-3.08624	-2.09223
0.126	-3.07982	-2.08446
0.123	-3.08074	-2.07334
0.12	-3.08647	-2.06343
0.117	-3.09001	-2.05259
0.114	-3.09363	-2.04388
0.111	-3.06356	-2.02824
0.108	-3.09319	-2.01412
0.105	-3.08765	-2.00363
0.102	-3.09001	-1.98668
0.099	-3.09866	-1.97458
0.096	-3.07563	-1.9533
0.093	-3.1113	-1.93512
0.09	-3.12693	-1.91951
0.087	-3.09504	-1.89941
0.084	-3.12771	-1.88185
0.081	-3.10042	-1.85556
0.078	-3.09757	-1.83536
0.075	-3.1109	-1.80377
0.072	-3.11322	-1.78573
0.069	-3.11284	-1.75299
0.066	-3.12185	-1.7234
0.063	-3.07276	-1.68383
0.06	-3.04701	-1.65122
0.057	-2.82488	-1.61104
0.054	-2.8233	-1.56245
0.051	-2.77581	-1.5161
0.048	-2.80856	-1.46562
0.045	-2.82616	-1.41303
0.042	-2.80385	-1.26557
0.039	-2.78315	-1.25596
0.036	-2.78793	-1.23475
0.033	-2.82403	-1.23506
0.03	-2.76094	-1.24224
0.027	-2.71418	-1.2384
0.024	-2.74226	-1.29432
0.021	-2.78403	-1.30414
